question_id,source_key,origin,model,run_index,paired_score_available,A_status,B_status,A_selected_letter,B_selected_letter,correct_letter,A_strict_correct,B_strict_correct,B_minus_A_strict,A_score_origin,B_score_origin,A_failure_class,B_failure_class
b2,illes-balears|2022|caso-1|2,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b2,illes-balears|2022|caso-1|2,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b2,illes-balears|2022|caso-1|2,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b2,illes-balears|2022|caso-1|2,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b4,illes-balears|2022|caso-1|4,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b4,illes-balears|2022|caso-1|4,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b4,illes-balears|2022|caso-1|4,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b4,illes-balears|2022|caso-1|4,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b5,illes-balears|2022|caso-1|5,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b5,illes-balears|2022|caso-1|5,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b5,illes-balears|2022|caso-1|5,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b5,illes-balears|2022|caso-1|5,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b6,illes-balears|2022|caso-1|6,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b6,illes-balears|2022|caso-1|6,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b6,illes-balears|2022|caso-1|6,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b6,illes-balears|2022|caso-1|6,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b7,illes-balears|2022|caso-1|7,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,d,d,d,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b7,illes-balears|2022|caso-1|7,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,d,d,d,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b7,illes-balears|2022|caso-1|7,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,d,b,d,1,0,-1,2026-07-31_reused,2026-07-31_reused,,
b7,illes-balears|2022|caso-1|7,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,d,b,d,1,0,-1,2026-07-31_reused,2026-07-31_reused,,
b9,illes-balears|2022|caso-1|9,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b9,illes-balears|2022|caso-1|9,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b9,illes-balears|2022|caso-1|9,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b9,illes-balears|2022|caso-1|9,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b11,illes-balears|2022|caso-1|11,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b11,illes-balears|2022|caso-1|11,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,a,a,c,0,0,0,2026-07-31_reused,2026-07-31_reused,,
b11,illes-balears|2022|caso-1|11,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,d,c,c,0,1,1,2026-07-31_reused,2026-07-31_reused,,
b11,illes-balears|2022|caso-1|11,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,c,a,c,1,0,-1,2026-07-31_reused,2026-07-31_reused,,
b12,illes-balears|2022|caso-1|12,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b12,illes-balears|2022|caso-1|12,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b12,illes-balears|2022|caso-1|12,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b12,illes-balears|2022|caso-1|12,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b13,illes-balears|2022|caso-1|14,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b13,illes-balears|2022|caso-1|14,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,c,0,0,0,2026-07-31_reused,2026-07-31_reused,,
b13,illes-balears|2022|caso-1|14,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b13,illes-balears|2022|caso-1|14,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,c,c,c,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b21,illes-balears|2022|caso-1|22,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b21,illes-balears|2022|caso-1|22,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b21,illes-balears|2022|caso-1|22,retained318,qwen/qwen3.6-35b-a3b,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b21,illes-balears|2022|caso-1|22,retained318,z-ai/glm-5.2,1,TRUE,scored,scored,b,b,b,1,1,0,2026-07-31_reused,2026-07-31_reused,,
b22,illes-balears|2022|caso-1|23,retained318,google/gemini-3.6-flash,1,TRUE,scored,scored,c,d,d,0,1,1,2026-07-31_reused,2026-07-31_reused,,
b22,illes-balears|2022|caso-1|23,retained318,google/gemma-4-26b-a4b-it,1,TRUE,scored,scored,d,d,d,1,1,0,2026-07-31_reused,2026-07-31_reused,,
