experiment_name,dataset_name,question_id,region,year,specialty,exam_part,question_number,provider,model,run_index,prompt_version,selected_letter,selected_option_text,correct_letter,correct_option_text,letter_correct,text_correct,strict_correct,lenient_correct,letter_text_conflict,parse_status,parse_method,api_status_code,latency_ms,prompt_tokens,completion_tokens,total_tokens,created_at
expC_2f_an_control,expC_2f_an_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,4169,992,510,1502,2026-08-05T02:37:27+00:00
expC_2f_an_control,expC_2f_an_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,Su incidencia está aumentando en los últimos años.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,927,879,44,923,2026-08-05T02:37:24+00:00
expC_2f_an_control,expC_2f_an_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,Su incidencia está aumentando en los últimos años.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,44980,899,2792,3691,2026-08-05T02:38:08+00:00
expC_2f_an_control,expC_2f_an_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,25964,901,1147,2048,2026-08-05T02:37:49+00:00
expC_2f_an_control,expC_2f_an_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,2693,1010,283,1293,2026-08-05T02:37:26+00:00
expC_2f_an_control,expC_2f_an_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,1051,897,53,950,2026-08-05T02:37:24+00:00
expC_2f_an_control,expC_2f_an_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,10639,918,1140,2058,2026-08-05T02:37:34+00:00
expC_2f_an_control,expC_2f_an_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,11806,920,519,1439,2026-08-05T02:37:35+00:00
expC_2f_an_control,expC_2f_an_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,3205,1021,382,1403,2026-08-05T02:37:26+00:00
expC_2f_an_control,expC_2f_an_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,1155,908,52,960,2026-08-05T02:37:24+00:00
