experiment_name,dataset_name,question_id,region,year,specialty,exam_part,question_number,provider,model,run_index,prompt_version,selected_letter,selected_option_text,correct_letter,correct_option_text,letter_correct,text_correct,strict_correct,lenient_correct,letter_text_conflict,parse_status,parse_method,api_status_code,latency_ms,prompt_tokens,completion_tokens,total_tokens,created_at
expC_2f_an_altered,expC_2f_an_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,4301,1007,559,1566,2026-08-05T02:43:26+00:00
expC_2f_an_altered,expC_2f_an_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,933,894,46,940,2026-08-05T02:43:22+00:00
expC_2f_an_altered,expC_2f_an_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,Su incidencia está aumentando en los últimos años.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,10321,915,1842,2757,2026-08-05T02:43:32+00:00
expC_2f_an_altered,expC_2f_an_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,27442,917,1442,2359,2026-08-05T02:43:49+00:00
expC_2f_an_altered,expC_2f_an_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,3280,1023,305,1328,2026-08-05T02:43:25+00:00
expC_2f_an_altered,expC_2f_an_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,888,910,53,963,2026-08-05T02:43:22+00:00
expC_2f_an_altered,expC_2f_an_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,19294,932,1237,2169,2026-08-05T02:43:41+00:00
expC_2f_an_altered,expC_2f_an_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,12282,934,563,1497,2026-08-05T02:43:34+00:00
expC_2f_an_altered,expC_2f_an_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,3385,1034,486,1520,2026-08-05T02:43:25+00:00
expC_2f_an_altered,expC_2f_an_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,1022,921,52,973,2026-08-05T02:43:22+00:00
expC_2f_an_altered,expC_2f_an_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,13474,942,1567,2509,2026-08-05T02:43:35+00:00
expC_2f_an_altered,expC_2f_an_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,14812,944,728,1672,2026-08-05T02:43:36+00:00
expC_2f_an_altered,expC_2f_an_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,2458,1026,290,1316,2026-08-05T02:43:24+00:00
expC_2f_an_altered,expC_2f_an_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,863,913,49,962,2026-08-05T02:43:22+00:00
expC_2f_an_altered,expC_2f_an_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,13257,941,1402,2343,2026-08-05T02:43:35+00:00
expC_2f_an_altered,expC_2f_an_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,14518,943,713,1656,2026-08-05T02:43:36+00:00
