deterministic_rank,difficulty_rank_min,difficulty_rank_max,difficulty_tier_wrong_models,correct_models_B,difficulty_fraction,selection_status,cutoff_tie,tie_break_namespace,tie_break_sha256,primary_500_position,question_id,source_key,origin,replacement_id,replaces_question_id,candidate_id,region,year,specialty,exam_part,question_number,negated_stem,correct_letter,correct_option_text,question_text,option_a,option_b,option_c,option_d,content_sha256,raw_form_sha256,source_form_input_char_count,wrong_models_B,selected_letters_B,correct_models_A,gemini_selected_letter_B,gemini_strict_correct_B,gemini_strict_correct_A,glm_selected_letter_B,glm_strict_correct_B,glm_strict_correct_A,qwen_selected_letter_B,qwen_strict_correct_B,qwen_strict_correct_A,gemma_selected_letter_B,gemma_strict_correct_B,gemma_strict_correct_A
151,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,00ee9fedd76e3cea875c3b4fe57960feab585b6157e2cd12b7149a760e6b0aea,278,b434,comunidad-de-madrid|2021|main|96,retained318,,,,Comunidad de Madrid,2021,aparato-digestivo,main,434,False,c,Ninguna de las respuestas anteriores es correcta.,¿Qué tratamiento NO se recomienda para el mantenimiento de pacientes con colitis ulcerosa moderada a grave que no responden a tratamientos convencionales?,Adalimumab,Ustekinumab,Ninguna de las respuestas anteriores es correcta.,Mirikizumab,c12dece377d857cd92580f21b4d88c9e7c35534b98e5c76bf7af35f19799490c,b1dfdf20e2df966f6a9b72a971463247254d9767afb513bead775c5be2474083,235,Qwen 3.6 35B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=a;Gemma 4 26B=c,4,c,1,1,c,1,1,a,0,1,c,1,1
152,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,03b9349aae93f21cadb67129df4801530437526baac6e1f148a0f2a64b7e2eef,172,b265,galicia|2022|reserva-especifica|105,retained318,,,,Galicia,2022,aparato-digestivo,reserva-especifica,265,False,c,Ninguna de las respuestas anteriores es correcta.,"Varón, 63 años, sin antecedentes personales de interés. Es diagnosticado en 2018 de cirrosis hepática por alcohol tras una primera descompensación en forma de hemorragia digestiva por varices esofágicas. Abstinente desde entonces, con función hepática normal, A5 de Child–Pugh, PS 0. En TC abdominal se observa un nódulo de 31 mm con comportamiento dinámico diagnóstico de hepatocarcinoma. Según criterio BCLC la primera opción terapéutica a considerar sería:",Resección.,Ablación.,Ninguna de las respuestas anteriores es correcta.,Quimioembolización transarterial.,46bde085e912c52d790daae9eb484795e607883690dbde82f9027e4b71d1f1b4,299da2e8e5549a5e0a5326168ae3f9ec95dbe3fb9d1c3a2ff5b586e2e65432ff,560,Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=b,2,c,1,1,c,1,1,c,1,0,b,0,0
153,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,0b508e1d0a2849fdeda9e25dd97e094c50a7578cd96a665b2c2d64c89b2494db,24,b37,illes-balears|2022|caso-2|38,retained318,,,,Illes Balears,2022,aparato-digestivo,caso-2,37,True,c,Ninguna de las respuestas anteriores es correcta.,"Varón de 63 años remitido a la unidad de endoscopia para hacerle una gastroscopia por un reflujo de larga evolución (superior a 10 años). El paciente es obeso, hipertenso y fumador. Refiere disfagia a sólidos desde hace un mes. Se hace una gastroscopia que detecta a 32 cm de las arcadas dentarias la presencia de una mucosa ectópica que se extiende hasta la unión esofagogástrica situada a 38 cm de las arcadas dentarias en donde se aprecian signos de esofagitis por reflujo grado C.
Se pauta un tratamiento médico y se hace una nueva gastroscopia a las ocho semanas. En ella se aprecia la mucosa ectópica descrita previamente sugestiva de esófago de Barrett (C5M6) con una cicatrización completa de la esofagitis por reflujo y a 35 cm de las arcadas dentarias se aprecia un área irregular sobreelevada de unos 8 mm (0-Is) diferente al resto de la mucosa circundante. Se hacen biopsias de forma aleatoria de la lesión descrita, suponiendo que puede tratarse de un esófago de Barrett según el protocolo de Seattle. Los resultados de la lesión visible en el esófago confirman un esófago
de Barrett con metaplasia intestinal y presencia de focos de displasia de grado alto y las biopsias aleatorias confirmaban el esófago de Barrett sin displasia. Se planifica una estrategia de tratamiento y seguimiento.

Señale la afirmación falsa en referencia al seguimiento del esófago de Barrett:",En general depende de la extensión del Barrett y de la presencia o no de displasia.,El esófago de Barrett sin displasia requiere un seguimiento de entre tres y cinco años según las diferentes sociedades científicas.,Ninguna de las respuestas anteriores es correcta.,La displasia de grado bajo detectada en el seguimiento endoscópico debe ser confirmada por un segundo patólogo o por un patólogo experto.,c744333d943cbb4ab9f7783611f98fb9b56835149c24c918b9c43c2dc4f0039a,1978f9d84f1198493e30cd9aa065295cdc74ad70e30d35ba8d50e13f3da58c80,1784,Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=b,4,c,1,1,c,1,1,c,1,1,b,0,1
154,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,0bb9be70560478ebcd98be44c704e2115214ca3c5c5e1b05aa51cb6a654e5c66,17,b29,illes-balears|2022|caso-2|30,retained318,,,,Illes Balears,2022,aparato-digestivo,caso-2,29,False,c,Ninguna de las respuestas anteriores es correcta.,"Varón de 63 años remitido a la unidad de endoscopia para hacerle una gastroscopia por un reflujo de larga evolución (superior a 10 años). El paciente es obeso, hipertenso y fumador. Refiere disfagia a sólidos desde hace un mes. Se hace una gastroscopia que detecta a 32 cm de las arcadas dentarias la presencia de una mucosa ectópica que se extiende hasta la unión esofagogástrica situada a 38 cm de las arcadas dentarias en donde se aprecian signos de esofagitis por reflujo grado C.
Se pauta un tratamiento médico y se hace una nueva gastroscopia a las ocho semanas. En ella se aprecia la mucosa ectópica descrita previamente sugestiva de esófago de Barrett (C5M6) con una cicatrización completa de la esofagitis por reflujo y a 35 cm de las arcadas dentarias se aprecia un área irregular sobreelevada de unos 8 mm (0-Is) diferente al resto de la mucosa circundante. Se hacen biopsias de forma aleatoria de la lesión descrita, suponiendo que puede tratarse de un esófago de Barrett según el protocolo de Seattle. Los resultados de la lesión visible en el esófago confirman un esófago
de Barrett con metaplasia intestinal y presencia de focos de displasia de grado alto y las biopsias aleatorias confirmaban el esófago de Barrett sin displasia. Se planifica una estrategia de tratamiento y seguimiento.

Señale la respuesta correcta en referencia a las siguientes afirmaciones sobre la esofagitis por reflujo de grado C de la clasificación de Los Ángeles","Supone una o más lesiones de la mucosa, igual o menor de 5 mm de longitud, sin confluencia.","Supone una o más lesiones de la mucosa, con confluencia y afectación de más del 75 % de la circunferencia esofágica.",Ninguna de las respuestas anteriores es correcta.,"Supone una o más lesiones de la mucosa, superior a 5 mm de longitud, sin confluencia.",70372455a58763598b00b870e0e398b0ab6ff48604b2b97bb488f9922411dd6d,ef1a126976736e9a13ade225e6c9174f5df0c0eb2fac640a9c433643227d90d4,1796,Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=b,3,c,1,1,c,1,1,c,1,1,b,0,0
155,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,0c56d384840bcead821889a375fe55105578240a20f78f265644e7e754407449,206,b317,comunidad-de-madrid|2021|main|44,retained318,,,,Comunidad de Madrid,2021,aparato-digestivo,main,317,True,d,Ninguna de las respuestas anteriores es correcta.,"Usted sabe que el prurito es un síntoma frecuente en las enfermedades colestásicas crónicas y que genera gran disconfort en los pacientes. En relación con su tratamiento, señale cuál de las siguientes afirmaciones es FALSA",Es importante mantener una adecuada hidratación de la piel,La colestiramina y el colestipol actúan aumentando la excreción fecal de sustancias pruritógenas,El uso de sertralina puede resultar beneficioso en pacientes con prurito refractario,Ninguna de las respuestas anteriores es correcta.,1f8611221a0fecc507f11a304872b8b9a6f06fdb51ec6f574f696b78e96e3596,55b9763e3683c4180ab80afb6547d90cd4eeee5ab6fdff1a92a0df1d0f456a41,509,Gemma 4 26B,Gemini 3.6 Flash=d;GLM 5.2=d;Qwen 3.6 35B=d;Gemma 4 26B=c,4,d,1,1,d,1,1,d,1,1,c,0,1
156,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,0d918ea1896568d773344145de3296437260866351a7ec0ece3fcdd1f7351fea,223,b338,galicia|2019|reserva-especifica|107,retained318,,,,Galicia,2019,aparato-digestivo,reserva-especifica,338,True,d,Ninguna de las respuestas anteriores es correcta.,"La fase de infección crónica del virus hepatitis B con antígeno e positivo (HBeAg) (antes denominada fase de inmunotolerancia), presenta todas las siguientes características, EXCEPTO:",Niveles muy elevados del DNA de la hepatitis B.,Valores normales de ALT.,La tasa de seroconversión espontánea en esta fase es muy baja.,Ninguna de las respuestas anteriores es correcta.,277cd5e45b970ac97ce8d06cd905509a54667c662c05b04756bb774724fba2eb,e999fe47043269ae165321e95d4eeb116fd56abf3cfbf317a49cc28563819fdd,365,Gemma 4 26B,Gemini 3.6 Flash=d;GLM 5.2=d;Qwen 3.6 35B=d;Gemma 4 26B=c,4,d,1,1,d,1,1,d,1,1,c,0,1
157,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,0dd8241dbf0a3690b7c8f7a824936dbb5402699c1931896c939bc4f7ba2da913,288,b450,comunidad-de-madrid|2021|main|101,retained318,,,,Comunidad de Madrid,2021,aparato-digestivo,main,450,False,c,Ninguna de las respuestas anteriores es correcta.,Usted asiste a un paciente de 38 años con inmunodeficiencia común variable que consulta por un hallazgo de varices esofágicas de gran tamaño; en una ecografía doppler se aprecia permeabilidad del eje esplenoportal. El perfil hepático es normal ¿Cuál debe ser el primer diagnóstico de sospecha?,Cirrosis criptogenética,Síndrome de Budd-Chiari,Ninguna de las respuestas anteriores es correcta.,Esquistosomiasis,bc97c40b045e942c1234b5e8bb180084e8bd026b0953caeef7f1d2ef7c3fa344,076e6eb2efbde35002078dee21a70cac4774bfd0c70d41818ab2d6cd8a7ae732,404,Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=a,4,c,1,1,c,1,1,c,1,1,a,0,1
158,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,10d6a84cf5d3b817874f139043e2c0b9a7a1fdb41c1db4ebb3f3b1107e33bd8e,471,n153,comunitat-valenciana|2022|main-47-80|76,new182,,,,Comunitat Valenciana,2022,aparato-digestivo,main-47-80,76,False,b,Ninguna de las respuestas anteriores es correcta.,"Un hombre de 64 años acude a urgencias tras iniciar hace 48 horas un cuadro de dolor epigástrico intenso de características pancreáticas. A la exploración presenta un dolor intenso en hemiabdomen superior sin signos de peritonismo. Está consciente y orientado, temperatura de 36.7° C, tensión arterial de 175/85 mmHg, frecuencia cardíaca de 108 lpm. En el hemograma únicamente destacaba unos leucocitos de 16.000 µ/L . La química hemática mostraba una amilasa de 2.120 UI/L, urea normal, glucosa de 180 mg /dl, elevación de transaminasas entre 2-3 veces su valor normal. La Rx de tórax normal y la ecografía abdominal informaba de colelitiasis múltiple y ausencia de dilatación de la vía biliar. ¿Cuántos puntos de gravedad tiene según la clasificación BISAP?",1,Ninguna de las respuestas anteriores es correcta.,3,4,57176c388800dd69f34acc82a51e1e200057eeb473dc0ac59d01727034392784,686d958a06bac32ddb733f44c98d130fa3ae227332af625ec7d35a64f1b2794f,811,Gemma 4 26B,Gemini 3.6 Flash=b;GLM 5.2=b;Qwen 3.6 35B=b;Gemma 4 26B=a,3,b,1,1,b,1,1,b,1,0,a,0,1
159,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,1145ba8ae878a8e3f3deda221387b6a7641473af4f7e83a19cd63a332981929e,112,b172,navarra|2022|caso-clinico-2|97,retained318,,,,Navarra,2022,aparato-digestivo,caso-clinico-2,172,False,b,Ninguna de las respuestas anteriores es correcta.,"Una mañana en la sala de endoscopias en la agenda de cribado de cáncer colorrectal (CCR):

Requisitos a cumplir en el programa de cribado de CCR. Señala la VERDADERA",Una demora de 3 meses en la realización de las colonoscopias de cribado se considera adecuado,Ninguna de las respuestas anteriores es correcta.,En Navarra los pacientes pueden elegir por test de sangre oculta en heces o por colonoscopia directa,Los vídeo-colonoscopios que no tienen alta definición de imagen son aptos para este tipo de endoscopia.,e9a0ede554e2546d71ff5d69b62c9a9adbd0b73f34a2b54358372e1a160c2a64,6bed4342da153c60a5dabef4cdb254e6b51237e29966cf47cffd358ffa7e1827,510,Gemma 4 26B,Gemini 3.6 Flash=b;GLM 5.2=b;Qwen 3.6 35B=b;Gemma 4 26B=c,4,b,1,1,b,1,1,b,1,1,c,0,1
160,151,296,1,3,0.25000000,SELECTED_BOUNDARY_TIE,True,openrouter_B-hard200-v1|,128c9a6682314182911dffdc217097629b5914698eb0114cef9852ed0e99aaef,121,b182,navarra|2022|caso-clinico-3|107,retained318,,,,Navarra,2022,aparato-digestivo,caso-clinico-3,182,True,c,Ninguna de las respuestas anteriores es correcta.,"Varón de 65 años con antecedente de cirrosis hepática por VHC genotipo 3 (nunca tratado), sin otras comorbilidades, que ingresa por hematemesis. Se realiza gastroscopia visualizándose varices esofágicas grandes, una de ellas con sangrado activo y dos de ellas con extensión a curvadura menor gástrica. El paciente no presenta ascitis ni fiebre y desde el punto de vista hemodinámico tiene TA 100/60 mmHg, FC 75lpm, SatO2 94% FiO2 21%.
Analítica: Hemoglobina 8,5 g/dL, plaquetas 78 x 109/L, actividad de protrombina 52%. Creatinina 0,98 mg/dL, Sodio 129 mmol/L, bilirrubina total 3,1 mg/dL, albúmina 32 g/L. AST 125 U/L, ALT 101 U/L.
Serologías: IgM e IgG VHA negativo, HBsAg negativo, anti-HBs positivo, HBcAc total positivo, VIH negativo.
Ecografía abdominal: Hígado con contornos nodulares y aumento de la ecogenicidad hepática con aspecto granular, sugestivo de hepatopatía crónica. No se objetivan lesiones focales. Vena porta de calibre normal con flujo hepatópeto. Esplenomegalia homogénea de 17,5 cm. Circulación colateral en espacio esplenorrenal. No líquido libre intraabdominal

En la ecografía de screening semestral se objetiva trombosis reciente que ocupa el 60% de la vena porta principal. Según las últimas recomendaciones de la AASLD (American Association Study Liver Diseases 2020), señale la FALSA:",Realizar prueba de imagen con contraste,Iniciar anticoagulación,Ninguna de las respuestas anteriores es correcta.,La aparición de isquemia intestinal es menos frecuente que en los pacientes que no presentan cirrosis,49b5a44ee822b69568f91b8e66348fc4033d146288f04f5327195500d481fd59,9f7791350b86a9e3ce26bcb6ac799f649fef06f0dd47551b0d8e4415b6d03e7c,1528,GLM 5.2,Gemini 3.6 Flash=c;GLM 5.2=b;Qwen 3.6 35B=c;Gemma 4 26B=c,4,c,1,1,b,0,1,c,1,1,c,1,1
