target_key,arm,provider,condition,dataset,experiment,question_id,source_key,model,run_index,prompt_version,run1_cell_key,run1_selected_letter,run1_correct_letter,run1_request_sha256,run1_response_sha256,run1_result_database,run1_result_experiment,input_fields_sha256,system_prompt_sha256,user_prompt_sha256,source_content_sha256,source_raw_form_sha256,status
openrouter_A|andalucia|2021|cuestionario-practico|117|google/gemini-3.6-flash|2,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,n012,andalucia|2021|cuestionario-practico|117,google/gemini-3.6-flash,2,mcq_es_v4,openrouter|A|n012|andalucia|2021|cuestionario-practico|117|google/gemini-3.6-flash|1,d,b,6eff8caabf96aada4eb27b9264a4ea41735c4835e7e3dd1ee338e4ed26777227,20042b8fc4900306f7b989606d4278789a99cd1e6ec87da7981ccc2dac6902b2,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_A_new182,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,,baab4af5d1fe915b0129496beb05cd84e5962801f1bf66770a7be84baeab98d7,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,READY_NOT_RUN
openrouter_A|andalucia|2021|cuestionario-practico|117|google/gemini-3.6-flash|3,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,n012,andalucia|2021|cuestionario-practico|117,google/gemini-3.6-flash,3,mcq_es_v4,openrouter|A|n012|andalucia|2021|cuestionario-practico|117|google/gemini-3.6-flash|1,d,b,6eff8caabf96aada4eb27b9264a4ea41735c4835e7e3dd1ee338e4ed26777227,20042b8fc4900306f7b989606d4278789a99cd1e6ec87da7981ccc2dac6902b2,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_A_new182,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,,baab4af5d1fe915b0129496beb05cd84e5962801f1bf66770a7be84baeab98d7,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,e897f188d7610d6341a2ef19eb0c1fd1132c3eb6963ba82baedba0725f634a4e,READY_NOT_RUN
openrouter_A|andalucia|2021|cuestionario-teorico|31|google/gemini-3.6-flash|2,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b326,andalucia|2021|cuestionario-teorico|31,google/gemini-3.6-flash,2,mcq_es_v4,openrouter|A|b326|andalucia|2021|cuestionario-teorico|31|google/gemini-3.6-flash|1,b,c,e1e23414e2bdee195c0b5bceaaab365099319720f05fb1c957ec35e62a0a00ea,dbf89ad56b78e3af3284d51288ad4bdd9d3ff18e460a3219a5d391852e9529e0,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,0f3c61b5e093bd31ef3585e1fcf312ae6594ea2f9f0360a88f993635951079c8,,58181ec7fccc212d00655c574d67dc12132ba9df6088130c772fc00f6515fd6b,bf49ecd79dabc7952325f899af645a26af11b2bc660f81c318fc5005e6730294,0f3c61b5e093bd31ef3585e1fcf312ae6594ea2f9f0360a88f993635951079c8,READY_NOT_RUN
openrouter_A|andalucia|2021|cuestionario-teorico|31|google/gemini-3.6-flash|3,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b326,andalucia|2021|cuestionario-teorico|31,google/gemini-3.6-flash,3,mcq_es_v4,openrouter|A|b326|andalucia|2021|cuestionario-teorico|31|google/gemini-3.6-flash|1,b,c,e1e23414e2bdee195c0b5bceaaab365099319720f05fb1c957ec35e62a0a00ea,dbf89ad56b78e3af3284d51288ad4bdd9d3ff18e460a3219a5d391852e9529e0,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,0f3c61b5e093bd31ef3585e1fcf312ae6594ea2f9f0360a88f993635951079c8,,58181ec7fccc212d00655c574d67dc12132ba9df6088130c772fc00f6515fd6b,bf49ecd79dabc7952325f899af645a26af11b2bc660f81c318fc5005e6730294,0f3c61b5e093bd31ef3585e1fcf312ae6594ea2f9f0360a88f993635951079c8,READY_NOT_RUN
openrouter_A|aragon|2017|reserva-especifica|108|google/gemini-3.6-flash|2,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b470,aragon|2017|reserva-especifica|108,google/gemini-3.6-flash,2,mcq_es_v4,openrouter|A|b470|aragon|2017|reserva-especifica|108|google/gemini-3.6-flash|1,d,b,02c02a5a7743cb1193690e0b252ee299149cf141d03a2d5132006a916a9262df,793e3cd92abdd3b5782b623ea380e00a7c7eb9fd2c7b7b2e130be25e76d3c8cd,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,80fc43bebf803761c3812d76f89ffd3ea0469665935aeb10b91a545e58ac9ad4,,4718e5d103fcb6f9c5109072335fd26a15da6d66a74a7db34077cd8203a595fc,aea7fb390460df2a056601dd65444eb52370a0042a5fe4005d0bd7fd4f0dc6bf,80fc43bebf803761c3812d76f89ffd3ea0469665935aeb10b91a545e58ac9ad4,READY_NOT_RUN
openrouter_A|aragon|2017|reserva-especifica|108|google/gemini-3.6-flash|3,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b470,aragon|2017|reserva-especifica|108,google/gemini-3.6-flash,3,mcq_es_v4,openrouter|A|b470|aragon|2017|reserva-especifica|108|google/gemini-3.6-flash|1,d,b,02c02a5a7743cb1193690e0b252ee299149cf141d03a2d5132006a916a9262df,793e3cd92abdd3b5782b623ea380e00a7c7eb9fd2c7b7b2e130be25e76d3c8cd,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,80fc43bebf803761c3812d76f89ffd3ea0469665935aeb10b91a545e58ac9ad4,,4718e5d103fcb6f9c5109072335fd26a15da6d66a74a7db34077cd8203a595fc,aea7fb390460df2a056601dd65444eb52370a0042a5fe4005d0bd7fd4f0dc6bf,80fc43bebf803761c3812d76f89ffd3ea0469665935aeb10b91a545e58ac9ad4,READY_NOT_RUN
openrouter_A|castilla-y-leon|2019|main|116|google/gemini-3.6-flash|2,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,n130,castilla-y-leon|2019|main|116,google/gemini-3.6-flash,2,mcq_es_v4,openrouter|A|n130|castilla-y-leon|2019|main|116|google/gemini-3.6-flash|1,b,c,b30b8b983b2b3c556c1ae7fef76726e657d5c5c5fbf864bc83e819347ed30166,1ab951fb24522ef1f2f9089d81f3bb877800b02881c9b6415f92dd4e886310d8,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_A_new182,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,,31e9cabd15b704349e738927e0570d223d7e9ae159a2f158e64e0636f555a9c3,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,READY_NOT_RUN
openrouter_A|castilla-y-leon|2019|main|116|google/gemini-3.6-flash|3,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,n130,castilla-y-leon|2019|main|116,google/gemini-3.6-flash,3,mcq_es_v4,openrouter|A|n130|castilla-y-leon|2019|main|116|google/gemini-3.6-flash|1,b,c,b30b8b983b2b3c556c1ae7fef76726e657d5c5c5fbf864bc83e819347ed30166,1ab951fb24522ef1f2f9089d81f3bb877800b02881c9b6415f92dd4e886310d8,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_A_new182,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,,31e9cabd15b704349e738927e0570d223d7e9ae159a2f158e64e0636f555a9c3,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,904b2cfe34a0ac2faeba6191a4e7d11030c247d2c3aeb03a6758eee975b09aa4,READY_NOT_RUN
openrouter_A|comunidad-de-madrid|2021|main|123|google/gemini-3.6-flash|2,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b413,comunidad-de-madrid|2021|main|123,google/gemini-3.6-flash,2,mcq_es_v4,openrouter|A|b413|comunidad-de-madrid|2021|main|123|google/gemini-3.6-flash|1,c,d,bb2ce730bb0d91272b723e900e2f20dac6edfdee9e59e5e6897b3330168a8889,a160c09133ebd638925eba68fc79665e0585d923a0e7ae2e9621321c325ee708,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,c2358ae76ebb6125d9829e47c2445aa06074783a4a190d0e99e604efc02501f9,,83d840f1512133856686a6daf431ac9e6db0c8b5fe5284476ddfa0f40e4725b8,ad3704414654ae77c71b8690d811836c802b61dac167d9457c5eb9445fd03b6d,c2358ae76ebb6125d9829e47c2445aa06074783a4a190d0e99e604efc02501f9,READY_NOT_RUN
openrouter_A|comunidad-de-madrid|2021|main|123|google/gemini-3.6-flash|3,openrouter_A,openrouter,A,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,b413,comunidad-de-madrid|2021|main|123,google/gemini-3.6-flash,3,mcq_es_v4,openrouter|A|b413|comunidad-de-madrid|2021|main|123|google/gemini-3.6-flash|1,c,d,bb2ce730bb0d91272b723e900e2f20dac6edfdee9e59e5e6897b3330168a8889,a160c09133ebd638925eba68fc79665e0585d923a0e7ae2e9621321c325ee708,data/experiment-31-07-26/experiment.sqlite,expA_or_310726,c2358ae76ebb6125d9829e47c2445aa06074783a4a190d0e99e604efc02501f9,,83d840f1512133856686a6daf431ac9e6db0c8b5fe5284476ddfa0f40e4725b8,ad3704414654ae77c71b8690d811836c802b61dac167d9457c5eb9445fd03b6d,c2358ae76ebb6125d9829e47c2445aa06074783a4a190d0e99e604efc02501f9,READY_NOT_RUN
