experiment_name,dataset_name,question_id,region,year,specialty,exam_part,question_number,provider,model,run_index,prompt_version,selected_letter,selected_option_text,correct_letter,correct_option_text,letter_correct,text_correct,strict_correct,lenient_correct,letter_text_conflict,parse_status,parse_method,api_status_code,latency_ms,prompt_tokens,completion_tokens,total_tokens,created_at
expC_2f_bm_control,expC_2f_bm_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,4363,992,510,1502,2026-08-05T02:24:28+00:00
expC_2f_bm_control,expC_2f_bm_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,Su incidencia está aumentando en los últimos años.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,1840,879,44,923,2026-08-05T02:24:25+00:00
expC_2f_bm_control,expC_2f_bm_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,Su incidencia está aumentando en los últimos años.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,38645,899,2169,3068,2026-08-05T02:25:02+00:00
expC_2f_bm_control,expC_2f_bm_control,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,19869,901,940,1841,2026-08-05T02:24:43+00:00
expC_2f_bm_control,expC_2f_bm_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,2877,1010,299,1309,2026-08-05T02:24:26+00:00
expC_2f_bm_control,expC_2f_bm_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,1390,897,53,950,2026-08-05T02:24:25+00:00
expC_2f_bm_control,expC_2f_bm_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,8222,918,1322,2240,2026-08-05T02:24:32+00:00
expC_2f_bm_control,expC_2f_bm_control,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,11282,920,494,1414,2026-08-05T02:24:35+00:00
expC_2f_bm_control,expC_2f_bm_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,3088,1021,382,1403,2026-08-05T02:24:27+00:00
expC_2f_bm_control,expC_2f_bm_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,13275,908,52,960,2026-08-05T02:24:37+00:00
expC_2f_bm_control,expC_2f_bm_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,11990,928,1477,2405,2026-08-05T02:24:36+00:00
expC_2f_bm_control,expC_2f_bm_control,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,11697,930,553,1483,2026-08-05T02:24:35+00:00
expC_2f_bm_control,expC_2f_bm_control,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,2586,1013,289,1302,2026-08-05T02:24:26+00:00
expC_2f_bm_control,expC_2f_bm_control,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,2103,900,49,949,2026-08-05T02:24:26+00:00
expC_2f_bm_control,expC_2f_bm_control,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,14672,927,1091,2018,2026-08-05T02:24:38+00:00
expC_2f_bm_control,expC_2f_bm_control,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,16232,929,798,1727,2026-08-05T02:24:40+00:00
expC_2f_bm_control,expC_2f_bm_control,b5,Illes Balears,2022,aparato-digestivo,caso-1,5,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,1,1,1,1,0,ok,json_string,200,3088,1036,354,1390,2026-08-05T02:24:27+00:00
