question_id,region,year,specialty,exam_part,question_number,question_text,option_a,option_b,option_c,option_d,correct_letter,correct_option_text,flags,page_in_exam_pdf,source_exam_pdf,source_answer_key_pdf,content_sha256,source_key,selection_score,context_ids,origin,negated_stem,candidate_id,replaces_question_id,failure_group
r001,La Rioja,2021,aparato-digestivo,main,46,En el síndrome hepatopulmonar (SHP) es cierto que:,Existe una relación clara entre la presencia o gravedad del SHP y la gravedad de la enfermedad hepática valorada por la clasificación de Child-Turcotte-Pugh o por el índice MELD.,La determinación del gradiente alveolo-arterial de oxígeno no es un método más sensible que la presión parcial arterial de oxígeno.,La gammagrafía pulmonar con macroagregados de albúmina (γMA) marcados con ⁹⁹ᵐTc es considerado el Gold-estándar para el diagnóstico del SHP.,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,18,AD_LA_RIOJA_2020_2021__EXAM__exam__fea-aparato-digestivo-2021.pdf,AD_LA_RIOJA_2020_2021__CORRECTION__correction__plantilla-respuestas-modificada-fea-aparato-digestivo-2021.pdf,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,la-rioja|2021|main|46,,,replacement22_2026-08-04,False,c2485,n169,ambiguous_or_model_sensitive
r002,Navarra,2022,aparato-digestivo,teorico-practica,69,"Según la clasificación de Todani, la dilatación de la porción intraduodenal del conducto colédoco o coledococele correspondería a un quiste tipo:",II,Ia,Ib,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,15,AD_NAVARRA_2022__EXAM__040_exam_preguntas-test-examen-digestivo-definitivo-ope-2022-estabili.pdf,AD_NAVARRA_2022__ANSWER_KEY__041_answer-key_respuestas-digestivo-ope-2022-estabilizacion.pdf,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,navarra|2022|teorico-practica|69,,,replacement22_2026-08-04,False,c2718,b320,ambiguous_or_model_sensitive
r003,Andalucía,2021,aparato-digestivo,cuestionario-teorico,51,"Entre los distintos signos y/o síntomas que pueden aparecer en un proceso de hepatitis aguda, señale cual constituye un claro criterio de ingreso hospitalario:",Astenia,Febrícula,Dolor en hipocondrio derecho,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,13,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e,andalucia|2021|cuestionario-teorico|51,,,replacement22_2026-08-04,False,c0205,n031,ambiguous_or_model_sensitive
r004,Andalucía,2021,aparato-digestivo,cuestionario-teorico,57,"¿Cuál es la actitud más adecuada ante el hallazgo incidental en una pieza de apendicectomía de un tumor carcinoide de 8mm NET G1 (bien diferenciado, bajo índice mitótico, Ki-67<3%) con márgenes libres?",Hemicolectomía derecha con vaciamiento ganglionar en un segundo tiempo.,Ileocequectomía con vaciamiento ganglionar en un segundo tiempo.,Adyuvancia con octreótido.,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,14,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,a3504cdc745871daf70c446f5433376060d3192fc8b5ac3fc5c6fafe7aa3ad6a,andalucia|2021|cuestionario-teorico|57,,,replacement22_2026-08-04,False,c0211,b199,ambiguous_or_model_sensitive
r005,Galicia,2019,aparato-digestivo,main,65,"En una ecografía abdominal describen una lesión ocupante de espacio situada en el segmento antero-superior del lóbulo hepático derecho, entre la vena suprahepática derecha y la media, craneal a la vena porta. ¿En qué segmento del hígado se hallaría según la clasificación de Couinaud?:",IV.,VI.,VII.,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,13,AD_GALICIA_OPE_2019__EXAM__gal-05__cas-especifico-digestivo-20210925132858-cas-pdf.pdf,AD_GALICIA_OPE_2019__CORRECTION__gal-07__fea-aparello-dixestivo-20211214124928-cas-pdf.pdf,40a1a595c05c8bd028b5b126369b5f139a2f4fc41b19d3aeda9271a7d8c1e1fe,galicia|2019|main|65,,,replacement22_2026-08-04,False,c2116,b248,ambiguous_or_model_sensitive
r006,Galicia,2016,aparato-digestivo,main,86,"En relación con la aparición de un pioderma gangrenoso en un paciente con colitis ulcerosa, ¿qué es cierto?",Es una manifestación extraintestinal que sólo se observa en brotes graves de colitis ulcerosa o enfermedad de Crohn.,Ninguna de las respuestas anteriores es correcta.,El tratamiento de primera línea del pioderma gangrenoso son los antibióticos.,"Cualquier tratamiento biológico, incluyendo Infliximab, adalimumab o vedolizumab se considera adecuado ante un pioderma gangrenoso que no responda a tratamiento esteroideo.",b,Ninguna de las respuestas anteriores es correcta.,,21,AD_GALICIA_OPE_2016__EXAM__gal-02__aparato-digestivo-cas-20171029192531-cas-pdf.pdf,AD_GALICIA_OPE_2016__CORRECTION__gal-03__aparello-dixestivo-20180201084525-cas-pdf.pdf,28cacccb653af0dad2d5967a05880422fe4140f5beabaafb28ec93bbf2e295b8,galicia|2016|main|86,,,replacement22_2026-08-04,False,c2027,b260,ambiguous_or_model_sensitive
r007,Galicia,2019,aparato-digestivo,main,81,"En cuanto al síndrome del intestino irritable, señale la respuesta VERDADERA:",Comienzo de síntomas en mayores de 50 años no es signo de alarma.,En el hombre es más frecuente el estreñimiento y en la mujer la diarrea.,El pioderma gangrenoso no es signo de organicidad.,Ninguna de las respuestas anteriores es correcta.,d,Ninguna de las respuestas anteriores es correcta.,,16,AD_GALICIA_OPE_2019__EXAM__gal-05__cas-especifico-digestivo-20210925132858-cas-pdf.pdf,AD_GALICIA_OPE_2019__CORRECTION__gal-07__fea-aparello-dixestivo-20211214124928-cas-pdf.pdf,0c63d442a22191d309528e8228cdcaeaaff0f5e72a5eb2d37fa362579b8f0bb8,galicia|2019|main|81,,,replacement22_2026-08-04,False,c2132,b141,gift_request_overlength
r008,La Rioja,2024,aparato-digestivo,main,95,Un paciente con disfagia progresiva sufre pérdida de peso. La endoscopia revela una lesión ulcerada estenosante en el tercio medio esofágico. ¿Cuál de los siguientes hallazgos histológicos sería más característico del diagnóstico más probable?:,Glándulas atípicas infiltrativas con invasión progresiva de la pared.,Glándulas gástricas ectópicas con metaplasia intestinal.,Ninguna de las respuestas anteriores es correcta.,Proliferación linfoide con patrón en cielo estrellado.,c,Ninguna de las respuestas anteriores es correcta.,,24,AD_LA_RIOJA_2023_2024__EXAM__exam__fea-aparato-digestivo-2025.pdf,AD_LA_RIOJA_2023_2024__CORRECTION__correction__plantilla-respuestas-modificada-fea-aparato-digestivo-2025.pdf,53fb04f87c7274a0054fb0e2aca094fe1a1966008ca36539591db0b5c18f3b23,la-rioja|2024|main|95,,,replacement22_2026-08-04,False,c2644,b142,gift_request_overlength
r009,Castilla-La Mancha,2017,aparato-digestivo,main,22,¿Mediante técnicas de inmunohistoquímica cuáles serán las características de un schwannoma gástrico y que permitan distinguirlo de un GIST gástrico?,"Proteína S 100 positivo, c-Kit positivo.",Ninguna de las respuestas anteriores es correcta.,"Proteína S 100 negativo, c-Kit positivo.","Proteína S 100 negativo, c-Kit negativo.",b,Ninguna de las respuestas anteriores es correcta.,,5,AD_CASTILLA_LA_MANCHA_2017_2018__EXAM__exam__cuestionario-fea-aparato-digestivo.pdf,AD_CASTILLA_LA_MANCHA_2017_2018__CORRECTION__correction__plantilla-correctora-definitiva-fea-aparato-digestivo.pdf,96ccb13ce5e05d56f54378057e397ecd8738645e1b7347fb2d39fd9deac767b4,castilla-la-mancha|2017|main|22,,,replacement22_2026-08-04,False,c0922,b143,gift_request_overlength
r010,Andalucía,2022,aparato-digestivo,cuestionario-teorico,74,"Mujer de 27 años, sin antecedentes, consulta por dolor epigástrico y náuseas de 3 meses de evolución y pérdida ponderal de 4 kg. Analíticamente destaca Hb de 13 g/dl, leucocitos de 13.000/mm3, amilasa 190 U/L y lipasa 45 U/L. En un TAC de abdomen se observa una masa sólido-quística, heterogénea de 5 cm de diámetro situada en el cuerpo del páncreas, encapsulada, que comprime vena esplénica desplazando la arteria esplénica. ¿Cuál es el diagnóstico más probable?",Neoplasia mucinosa papilar intraductal.,Ninguna de las respuestas anteriores es correcta.,Cistoadenoma mucinoso quístico.,Cistoadenoma seroso microquístico,b,Ninguna de las respuestas anteriores es correcta.,,20,AD_ANDALUCIA_2022_EXTRAORDINARIA_LIBRE__EXAM__12__revisado-56007-fea-aparato-digestivo-final-pdf.pdf,AD_ANDALUCIA_2022_EXTRAORDINARIA_LIBRE__CORRECTION__14__def-feaapdigestivo-sas-2023-pdf.pdf,52da835565b44f8179eda8a15fe2499264052df7e3864003daa63513f49372e9,andalucia|2022|cuestionario-teorico|74,,,replacement22_2026-08-04,False,c0381,b147,gift_request_overlength
