invocation_id,arm,condition,model,dataset,experiment_id,target_count,concurrency,start_time_utc,end_time_utc,status,scored_count,failure_count,redacted_command,log_path,notes
or-a-gemini,openrouter_A,A,google/gemini-3.6-flash,aug26_replacement22_A,ab520_replacement22_or_A_20260804,22,10,2026-08-05T01:06:29Z,2026-08-05T01:06:37Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_A --model google/gemini-3.6-flash --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-a-gemini.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-a-gemma,openrouter_A,A,google/gemma-4-26b-a4b-it,aug26_replacement22_A,ab520_replacement22_or_A_20260804,22,10,2026-08-05T01:06:49Z,2026-08-05T01:07:07Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_A --model google/gemma-4-26b-a4b-it --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-a-gemma.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-a-qwen,openrouter_A,A,qwen/qwen3.6-35b-a3b,aug26_replacement22_A,ab520_replacement22_or_A_20260804,22,10,2026-08-05T01:07:13Z,2026-08-05T01:08:51Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_A --model qwen/qwen3.6-35b-a3b --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-a-qwen.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-a-glm,openrouter_A,A,z-ai/glm-5.2,aug26_replacement22_A,ab520_replacement22_or_A_20260804,22,5,2026-08-05T01:09:00Z,2026-08-05T01:11:56Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_A --model z-ai/glm-5.2 --max-concurrency 5 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-a-glm.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-b-gemini,openrouter_B,B,google/gemini-3.6-flash,aug26_replacement22_B,ab520_replacement22_or_B_20260804,22,10,2026-08-05T01:12:05Z,2026-08-05T01:12:21Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-b-gemini.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-b-gemma,openrouter_B,B,google/gemma-4-26b-a4b-it,aug26_replacement22_B,ab520_replacement22_or_B_20260804,22,10,2026-08-05T01:12:28Z,2026-08-05T01:12:31Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_B --model google/gemma-4-26b-a4b-it --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-b-gemma.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-b-qwen,openrouter_B,B,qwen/qwen3.6-35b-a3b,aug26_replacement22_B,ab520_replacement22_or_B_20260804,22,10,2026-08-05T01:14:37Z,2026-08-05T01:15:49Z,completed,22,0,uv run python execute_replacement_cells.py --arm openrouter_B --model qwen/qwen3.6-35b-a3b --max-concurrency 10 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-b-qwen.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
or-b-glm,openrouter_B,B,z-ai/glm-5.2,aug26_replacement22_B,ab520_replacement22_or_B_20260804,22,5,2026-08-05T01:15:55Z,2026-08-05T01:22:13Z,aborted_partial_or_unparseable_response,21,1,uv run python execute_replacement_cells.py --arm openrouter_B --model z-ai/glm-5.2 --max-concurrency 5 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-b-glm.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=partial_or_unparseable_response
or-b-glm-retry-r018,openrouter_B,B,z-ai/glm-5.2,aug26_replacement22_B,ab520_replacement22_or_B_20260804,1,1,2026-08-05T01:22:57Z,2026-08-05T01:23:01Z,completed,1,0,uv run python execute_replacement_cells.py --arm openrouter_B --model z-ai/glm-5.2 --max-concurrency 1 --db [REDACTED_PATH] --execute,logs/2026-08-05-or-b-glm-retry-r018.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
ts-a-probe-r001-gemini,tailscale_A,A,google/gemini-3.6-flash,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,1,1,2026-08-05T01:23:34Z,2026-08-05T01:23:52Z,completed,1,0,uv run python execute_replacement_cells.py --arm tailscale_A --model google/gemini-3.6-flash --max-concurrency 1 --db [REDACTED_PATH] --execute,logs/2026-08-05-ts-a-probe-r001-gemini.log,skipped_already_scored=0; not_started_after_abort=0; stop_reason=none
ts-a-gemini-remaining,tailscale_A,A,google/gemini-3.6-flash,aug26_replacement22_A,ab520_replacement22_ts_A_20260804,22,5,2026-08-05T01:24:04Z,2026-08-05T01:25:14Z,completed,21,0,uv run python execute_replacement_cells.py --arm tailscale_A --model google/gemini-3.6-flash --max-concurrency 5 --db [REDACTED_PATH] --execute,logs/2026-08-05-ts-a-gemini-remaining.log,skipped_already_scored=1; not_started_after_abort=0; stop_reason=none
