cell_key,arm,provider,condition,question_id,source_key,origin,model,run_index,score_status,status_reason,source_workbook,source_workbook_sha256,source_excel_row,content_sha256,raw_form_sha256,prior_experiment,prior_database
openrouter|A|b320|comunitat-valenciana|2022|main-47-80|72|z-ai/glm-5.2|1,openrouter_A,openrouter,A,b320,comunitat-valenciana|2022|main-47-80|72,retained318,z-ai/glm-5.2,1,august_gapfill_required,retained_unscored_gap,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,210,aa4b4f50656e54e3fffe787bca5e3aad04bf13d0964c3e3e6c164e9b3d233166,31f89cf55b5125f7fa669ec24c9f89545302673dd242cecd2d80449747102825,,
openrouter|A|n001|la-rioja|2024|main|89|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,n001,la-rioja|2024|main|89,new182,google/gemini-3.6-flash,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,320,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,,
openrouter|A|n001|la-rioja|2024|main|89|google/gemma-4-26b-a4b-it|1,openrouter_A,openrouter,A,n001,la-rioja|2024|main|89,new182,google/gemma-4-26b-a4b-it,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,320,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,,
openrouter|A|n001|la-rioja|2024|main|89|qwen/qwen3.6-35b-a3b|1,openrouter_A,openrouter,A,n001,la-rioja|2024|main|89,new182,qwen/qwen3.6-35b-a3b,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,320,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,,
openrouter|A|n001|la-rioja|2024|main|89|z-ai/glm-5.2|1,openrouter_A,openrouter,A,n001,la-rioja|2024|main|89,new182,z-ai/glm-5.2,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,320,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,8df077f5b0f391ed903d5b109e5049c7628e6ae555f240d97eaeab6dbc1cb527,,
openrouter|A|n002|andalucia|2021|cuestionario-teorico|58|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,n002,andalucia|2021|cuestionario-teorico|58,new182,google/gemini-3.6-flash,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,321,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,,
openrouter|A|n002|andalucia|2021|cuestionario-teorico|58|google/gemma-4-26b-a4b-it|1,openrouter_A,openrouter,A,n002,andalucia|2021|cuestionario-teorico|58,new182,google/gemma-4-26b-a4b-it,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,321,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,,
openrouter|A|n002|andalucia|2021|cuestionario-teorico|58|qwen/qwen3.6-35b-a3b|1,openrouter_A,openrouter,A,n002,andalucia|2021|cuestionario-teorico|58,new182,qwen/qwen3.6-35b-a3b,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,321,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,,
openrouter|A|n002|andalucia|2021|cuestionario-teorico|58|z-ai/glm-5.2|1,openrouter_A,openrouter,A,n002,andalucia|2021|cuestionario-teorico|58,new182,z-ai/glm-5.2,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,321,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,8874aac0fdca2442626b06ff2470279a479451075a6e74f946c2946b045be0e8,,
openrouter|A|n003|galicia|2022|main|25|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,n003,galicia|2022|main|25,new182,google/gemini-3.6-flash,1,august_gapfill_required,new182,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,322,7c1be9c7c2d109fc525c892842113d9ff812ba2fdbfb00264a306ac4a7362ab6,7c1be9c7c2d109fc525c892842113d9ff812ba2fdbfb00264a306ac4a7362ab6,,
