deterministic_question_rank,selection_status,difficulty_tier_wrong_models,cutoff_tie,model_slug,model_label,cell_key,question_id,source_key,model,selected_letter,selected_option_text,correct_letter,correct_option_text,strict_correct,parse_status,parse_method,attempt_count,logical_call_id,result_database,result_experiment,score_origin,request_sha256,response_sha256,content_sha256,raw_form_sha256,prompt_version,exact_input_match_db,final_execution_status
1,INVARIANT_HARD_CORE,4,False,gemini,Gemini 3.6 Flash,openrouter|B|b370|castilla-la-mancha|2017|main|84|google/gemini-3.6-flash|1,b370,castilla-la-mancha|2017|main|84,google/gemini-3.6-flash,d,El fibroscán ® no está validado en el diagnóstico de fibrosis hepática en esta enfermedad.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3518,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,a7190f6765991a3053ddc43b96bb0f86bbc2236bacf3222e20850d7343fe5dc6,4c75404c5a8b67e03b7069fb8b9b1371f7116e485b8c85d18fd0fdaf8e21d1cd,24f8e67afe0030c3af128acc8c879536b692152497f9b80042fb332ffeb33fc0,bbdf1e622455cade95bf47f5dad038a0acd35e8ea5fbe333b9eb6c91d61cd90a,mcq_es_v4,TRUE,scored
1,INVARIANT_HARD_CORE,4,False,glm,GLM 5.2,openrouter|B|b370|castilla-la-mancha|2017|main|84|z-ai/glm-5.2|1,b370,castilla-la-mancha|2017|main|84,z-ai/glm-5.2,d,El fibroscán ® no está validado en el diagnóstico de fibrosis hepática en esta enfermedad.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3519,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,fea423af0449690f5ad2aa3a1b239fbd5b3c9506cd6547fae84af06b43d3289b,02914d0592e190dec3ddfe6e1ac682b17a1861f9fc881819d65c87c33669a78d,24f8e67afe0030c3af128acc8c879536b692152497f9b80042fb332ffeb33fc0,bbdf1e622455cade95bf47f5dad038a0acd35e8ea5fbe333b9eb6c91d61cd90a,mcq_es_v4,TRUE,scored
1,INVARIANT_HARD_CORE,4,False,qwen,Qwen 3.6 35B,openrouter|B|b370|castilla-la-mancha|2017|main|84|qwen/qwen3.6-35b-a3b|1,b370,castilla-la-mancha|2017|main|84,qwen/qwen3.6-35b-a3b,a,El mejor predictor de fibrosis en la Hemocromatosis hereditaria es el nivel de ferritina en sangre.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3520,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,e131a049fcf5123018d6a8395a67533f8b02cfeccb517e3559b0a370a3f7cce0,b2c40c3e05199552b7260691760821e1fccf7fe99d9f10d1e7062321b70d6169,24f8e67afe0030c3af128acc8c879536b692152497f9b80042fb332ffeb33fc0,bbdf1e622455cade95bf47f5dad038a0acd35e8ea5fbe333b9eb6c91d61cd90a,mcq_es_v4,TRUE,scored
1,INVARIANT_HARD_CORE,4,False,gemma,Gemma 4 26B,openrouter|B|b370|castilla-la-mancha|2017|main|84|google/gemma-4-26b-a4b-it|1,b370,castilla-la-mancha|2017|main|84,google/gemma-4-26b-a4b-it,d,El fibroscán ® no está validado en el diagnóstico de fibrosis hepática en esta enfermedad.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3521,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,efbf087b7dab53ee7d29bf1e617c0fd60ffe2e1bbc313ddf06052598ee6abc48,359dc24f04144213e723e8a94e0551fd1304741a0340f25b60a970712069b919,24f8e67afe0030c3af128acc8c879536b692152497f9b80042fb332ffeb33fc0,bbdf1e622455cade95bf47f5dad038a0acd35e8ea5fbe333b9eb6c91d61cd90a,mcq_es_v4,TRUE,scored
2,INVARIANT_HARD_CORE,4,False,gemini,Gemini 3.6 Flash,openrouter|B|b455|aragon|2017|main|79|google/gemini-3.6-flash|1,b455,aragon|2017|main|79,google/gemini-3.6-flash,b,Virus B,d,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3827,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,9493c7d9ae63560b5bfb277cbc127e314a881ee1a5336e8b3672fbbe835810aa,ef1ff1591891872781f5e6f8b0fbcc554b5b4e1ae744a6f77819913d04677f7b,3d403608fc8d7a15ed6004b8a774b703d98c018b9055465075ae45d90fe05fd3,8b4012f301d9cf8f9e3abccaa4c2f43a02b9e4503e92762426b46e5f414101b9,mcq_es_v4,TRUE,scored
2,INVARIANT_HARD_CORE,4,False,glm,GLM 5.2,openrouter|B|b455|aragon|2017|main|79|z-ai/glm-5.2|1,b455,aragon|2017|main|79,z-ai/glm-5.2,b,Virus B,d,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3828,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,3d1f8997d9c5ebb9a87222a6b2fdffa4c5ff39cfb924dcd18df0a4d4c451ef71,bd51eef77ce7c3c134ba78b5d3fbf7c391fb09e61ebae71c20159095689a8631,3d403608fc8d7a15ed6004b8a774b703d98c018b9055465075ae45d90fe05fd3,8b4012f301d9cf8f9e3abccaa4c2f43a02b9e4503e92762426b46e5f414101b9,mcq_es_v4,TRUE,scored
2,INVARIANT_HARD_CORE,4,False,qwen,Qwen 3.6 35B,openrouter|B|b455|aragon|2017|main|79|qwen/qwen3.6-35b-a3b|1,b455,aragon|2017|main|79,qwen/qwen3.6-35b-a3b,b,Virus B,d,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3829,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,57f3fa5f950fa44220162157af57f167d057924704a4dbb56d15f631b1bd27e8,f1447f93d2f5aef8c67e2ed10d3583a90a90986f27ef5a0fc98713f2c937742a,3d403608fc8d7a15ed6004b8a774b703d98c018b9055465075ae45d90fe05fd3,8b4012f301d9cf8f9e3abccaa4c2f43a02b9e4503e92762426b46e5f414101b9,mcq_es_v4,TRUE,scored
2,INVARIANT_HARD_CORE,4,False,gemma,Gemma 4 26B,openrouter|B|b455|aragon|2017|main|79|google/gemma-4-26b-a4b-it|1,b455,aragon|2017|main|79,google/gemma-4-26b-a4b-it,b,Virus B,d,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,3830,data/experiment-31-07-26/experiment.sqlite,expB_or_310726,2026-07-31_reused,aaced480707f02c6398d2fd2c04b1b34b0a196712111bb32de952d24cc5ec75a,3cf005533815ed48a1b7e542123677b185a448453d32f02796f862d50edb2511,3d403608fc8d7a15ed6004b8a774b703d98c018b9055465075ae45d90fe05fd3,8b4012f301d9cf8f9e3abccaa4c2f43a02b9e4503e92762426b46e5f414101b9,mcq_es_v4,TRUE,scored
3,INVARIANT_HARD_CORE,4,False,gemini,Gemini 3.6 Flash,openrouter|B|n088|castilla-y-leon|2019|main|43|google/gemini-3.6-flash|1,n088,castilla-y-leon|2019|main|43,google/gemini-3.6-flash,d,Edad > 70 años.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,1385,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_B_new182,2026-08-04_gapfill,a2a0e12a3bc38ca01d8c0020e225d83af99164f1919075df6c4e401229dce3bd,35df92dad789051aecdc043d157d72e773cfaf560e17c64ea0d36503651e2cc1,5671de60c0edfc57dad5062c90dee8b278a8aa10ae9af7d452c52bbc390042d8,feb96631b1c976bd55495b3b8940d22d3e986537877cff639caed58fe466d97e,mcq_es_v4,TRUE,scored
3,INVARIANT_HARD_CORE,4,False,glm,GLM 5.2,openrouter|B|n088|castilla-y-leon|2019|main|43|z-ai/glm-5.2|1,n088,castilla-y-leon|2019|main|43,z-ai/glm-5.2,d,Edad > 70 años.,b,Ninguna de las respuestas anteriores es correcta.,0,ok,json_string,1,1388,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,ab520_gapfill_or_B_new182,2026-08-04_gapfill,4dc5d4d41ce047f106b8281f7a17daf4bd1f8896a5f9bd769f013d1acce03147,4fec03c9b50f815be1db4de7e4b26929e66cb10ed3c3390167e75c344bfa602c,5671de60c0edfc57dad5062c90dee8b278a8aa10ae9af7d452c52bbc390042d8,feb96631b1c976bd55495b3b8940d22d3e986537877cff639caed58fe466d97e,mcq_es_v4,TRUE,scored
