provider,model,question_id,gold_letter,old_letter,new_letter,old_strict,new_strict,old_parse_method,new_parse_method
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g1,d,a,a,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g2,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g3,b,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g4,d,c,c,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g5,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g6,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g7,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g8,d,a,a,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g9,d,b,b,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g10,d,b,b,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g11,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g12,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g13,d,c,c,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g14,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g15,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g16,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g17,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g18,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g19,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g20,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g21,b,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g22,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g23,a,c,c,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g24,c,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g26,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g27,b,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g28,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g29,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g30,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g31,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g32,d,b,b,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g33,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g34,c,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g35,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g36,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g37,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g39,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g40,d,d,d,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g41,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g42,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g43,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g44,a,a,a,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g45,c,d,d,0,0,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g46,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g47,c,c,c,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g48,b,b,b,1,1,regex_primary,json_string
tailscale_medical_rag,google/gemma-4-26b-a4b-it,g49,c,d,d,0,0,regex_primary,json_string
