table,n_correct,n_of,n_questions
overall,0,12,1
overall,1,12,0
overall,2,12,3
overall,3,12,4
overall,4,12,4
overall,5,12,11
overall,6,12,9
overall,7,12,24
overall,8,12,34
overall,9,12,53
overall,10,12,71
overall,11,12,100
overall,12,12,186
openrouter_A,0,4,2
openrouter_A,1,4,13
openrouter_A,2,4,36
openrouter_A,3,4,84
openrouter_A,4,4,365
openrouter_B,0,4,19
openrouter_B,1,4,48
openrouter_B,2,4,83
openrouter_B,3,4,146
openrouter_B,4,4,204
tailscale_A,0,4,5
tailscale_A,1,4,7
tailscale_A,2,4,19
tailscale_A,3,4,84
tailscale_A,4,4,385
