deterministic_rank,difficulty_rank_min,difficulty_rank_max,difficulty_tier_wrong_models,correct_models_B,difficulty_fraction,selection_status,cutoff_tie,tie_break_namespace,tie_break_sha256,primary_500_position,question_id,source_key,origin,replacement_id,replaces_question_id,candidate_id,region,year,specialty,exam_part,question_number,negated_stem,correct_letter,correct_option_text,question_text,option_a,option_b,option_c,option_d,content_sha256,raw_form_sha256,source_form_input_char_count,wrong_models_B,selected_letters_B,correct_models_A,gemini_selected_letter_B,gemini_strict_correct_B,gemini_strict_correct_A,glm_selected_letter_B,glm_strict_correct_B,glm_strict_correct_A,qwen_selected_letter_B,qwen_strict_correct_B,qwen_strict_correct_A,gemma_selected_letter_B,gemma_strict_correct_B,gemma_strict_correct_A
1,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,03cb5551899a11552fc339c9a3ac8e2fca822b0c09907f2a223c0a800b41a835,243,b370,castilla-la-mancha|2017|main|84,retained318,,,,Castilla-La Mancha,2017,aparato-digestivo,main,370,True,b,Ninguna de las respuestas anteriores es correcta.,Una de las siguientes afirmaciones no es correcta en relación con la hemocromatosis hereditaria,El mejor predictor de fibrosis en la Hemocromatosis hereditaria es el nivel de ferritina en sangre.,Ninguna de las respuestas anteriores es correcta.,La prueba de cribado de elección es la saturación de transferrina en sangre.,El fibroscán ® no está validado en el diagnóstico de fibrosis hepática en esta enfermedad.,24f8e67afe0030c3af128acc8c879536b692152497f9b80042fb332ffeb33fc0,bbdf1e622455cade95bf47f5dad038a0acd35e8ea5fbe333b9eb6c91d61cd90a,409,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=d;GLM 5.2=d;Qwen 3.6 35B=a;Gemma 4 26B=d,4,d,0,1,d,0,1,a,0,1,d,0,1
2,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,1ad4182bde494d5bfe4c695529843c5c9817d60ebf0dbc93c721182c0af05d1c,289,b455,aragon|2017|main|79,retained318,,,,Aragón,2017,aparato-digestivo,main,455,False,d,Ninguna de las respuestas anteriores es correcta.,¿Con qué infección vírica es mayor el riesgo de insuficiencia hepática aguda grave?,Virus A,Virus B,Virus C,Ninguna de las respuestas anteriores es correcta.,3d403608fc8d7a15ed6004b8a774b703d98c018b9055465075ae45d90fe05fd3,8b4012f301d9cf8f9e3abccaa4c2f43a02b9e4503e92762426b46e5f414101b9,153,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=b;GLM 5.2=b;Qwen 3.6 35B=b;Gemma 4 26B=b,1,b,0,1,b,0,0,b,0,0,b,0,0
3,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,41df47579a263267371e2d8c6ebe30bace225da71ad63b41886587c5265e166b,406,n088,castilla-y-leon|2019|main|43,new182,,,,Castilla y León,2019,aparato-digestivo,main,43,False,b,Ninguna de las respuestas anteriores es correcta.,"De los siguientes, señale el factor de riesgo más importante en relación con las úlceras por consumo de AINE:",Infección por H. pylori.,Ninguna de las respuestas anteriores es correcta.,Uso de glucocorticoides.,Edad > 70 años.,5671de60c0edfc57dad5062c90dee8b278a8aa10ae9af7d452c52bbc390042d8,feb96631b1c976bd55495b3b8940d22d3e986537877cff639caed58fe466d97e,221,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=d;GLM 5.2=d;Qwen 3.6 35B=d;Gemma 4 26B=d,4,d,0,1,d,0,1,d,0,1,d,0,1
4,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,490ec4f8951c2deef7a919a34732bbc6d1b88b0c39df34d98b6eb72b23850579,110,b170,navarra|2022|caso-clinico-1|95,retained318,,,,Navarra,2022,aparato-digestivo,caso-clinico-1,170,False,d,Ninguna de las respuestas anteriores es correcta.,"Estás de guardia y te avisan desde Urgencias donde están valorando a una mujer de 67 años que ha acudido por presentar, en las últimas 3 horas, 2 deposiciones de características melénicas. Son las 22:45h.
En la analítica presenta: Hemoglobina 7.8 g/dL, urea 69 y Creatinina 0.9mg/dL. El resto de parámetros están dentro de la normalidad.
Rehistoriada la paciente refiere ingesta de ibuprofeno en los 3 días previos por un dolor en un molar. No tiene antecedentes médicos de interés salvo una dislipemia bien controlada con estatinas y es alérgica a las quinolonas. Fuma unos 15 cigarrillos cada día.
En la exploración física la TA es de 118/65 mmHg y la FC de 86 lpm. La paciente está eupneica y algo pálida. La auscultación cardio-pulmonar es normal y en la exploración abdominal refiere molestias a la palpación profunda en región epigástrica

Si nuestra paciente hubiera sido Helicobacter pylori positivo, cuánto tiempo aconsejarías mantener el tratamiento con inhibidores de la bomba de protones:",Indefinido ya que tiene > 65 años,8 semanas,El tiempo que dure el tratamiento erradicador,Ninguna de las respuestas anteriores es correcta.,7d30f33bcf4627ecb141d0763b650111ba57ccb3c5a5add038765ef28843fb46,9558125886354eff35ac624b122acf5331994ab2e03394107f808061fe28e50e,1136,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=b;GLM 5.2=b;Qwen 3.6 35B=b;Gemma 4 26B=c,1,b,0,0,b,0,0,b,0,0,c,0,1
5,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,4992e33e71bc36f6d2176add085d0d148da1fac8da7d2210d70d5160eecf7ca9,298,b470,aragon|2017|reserva-especifica|108,retained318,,,,Aragón,2017,aparato-digestivo,reserva-especifica,470,False,b,Ninguna de las respuestas anteriores es correcta.,"Paciente de 64 años, cirrosis alcohólica, creatinina de 3 mg/dl, ascitis, y no mejoría tras expansión plasmática; sin proteinuria ni hematuria, con ecografía renal normal, y baja eliminación de sodio. Describa como será su situación hemodinámica.",Resistencia vascular sistémica aumentada con gasto cardíaco disminuido y filtrado glomerular alto.,Ninguna de las respuestas anteriores es correcta.,"Resistencia sistémica aumentada, gasto cardíaco alto y filtrado glomerular disminuido.","Resistencia vascular baja, gasto cardíaco alto y filtrado glomerular disminuido.",aea7fb390460df2a056601dd65444eb52370a0042a5fe4005d0bd7fd4f0dc6bf,a4ea814493ac02b7e0d68137a49b70f49c7e5d13a6d6dbe8ad1691975620f3d9,559,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=d;GLM 5.2=d;Qwen 3.6 35B=d;Gemma 4 26B=d,0,d,0,0,d,0,0,d,0,0,d,0,0
6,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,4a0a256aaf75db991069f3d321917845fd24bf62aeaffd3fb6766bfabcd482a9,211,b322,comunidad-de-madrid|2021|main|42,retained318,,,,Comunidad de Madrid,2021,aparato-digestivo,main,322,False,b,Ninguna de las respuestas anteriores es correcta.,Un paciente con Insuficiencia Hépatica Aguda Grave NO suele tener:,Descenso del factor V,Ninguna de las respuestas anteriores es correcta.,Hipoalbuminemia,Aumento de la presion intracraneal,0a7895d91b6534a53936caadec820e284193683fbbc130e760f3d1e2ade99a17,41118932c376881ab07b54da929b0f16e3ec9ed9ece47658226569a821075861,185,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=c,3,c,0,1,c,0,1,c,0,0,c,0,1
7,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,5b9931076c5fdfacfde1a7d6cca4148f440221e7ec29b4cc9e64d4c370fca031,274,b425,aragon|2017|reserva-especifica|102,retained318,,,,Aragón,2017,aparato-digestivo,reserva-especifica,425,False,c,Ninguna de las respuestas anteriores es correcta.,¿Cuál es el tratamiento de rescate recomendado en pacientes con hepatitis crónica B que han desarrollado resistencia a lamivudina?,Combinación de lamivudina y tenofovir.,Combinación de lamivudina y entecavir.,Ninguna de las respuestas anteriores es correcta.,Monoterapia con entecavir.,bfed4d89a3b3df48a4e34aab4b1e70223a483da433aab6b09e7f9fed1e770002,b0908a712e2fda4cef51aac3939ab58515abc0b18206b40d4485e617d3882752,281,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=a;GLM 5.2=a;Qwen 3.6 35B=a;Gemma 4 26B=d,4,a,0,1,a,0,1,a,0,1,d,0,1
8,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,5fe200c2b77eb5c0e268f94bf64987e5b4321452dc2abfbf8bcf0bb4c262c3b9,465,n147,castilla-la-mancha|2022|main|20,new182,,,,Castilla-La Mancha,2022,aparato-digestivo,main,20,False,d,Ninguna de las respuestas anteriores es correcta.,¿Cuál de las siguientes lesiones subepiteliales gástricas tendrá una mayor capacidad para crecer y diseminar a distancia?,Lipoma gástrico de 3cm,Pólipo inflamatorio fibroide en antro gástrico,Tumor carcinoide gástrico en paciente con hipergastrinemia.,Ninguna de las respuestas anteriores es correcta.,ca2622b39c009c8cc89ea76f2480ff5e09076d080ec3937a8b3213d95ed82271,3fb963c71bcedd9faae5e4f5f8f78e78ed54de9e500783c8dd6fa872a34cbaa4,297,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=c,4,c,0,1,c,0,1,c,0,1,c,0,1
9,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,6a274e2495cf5a53c34ff6d889ee01acedf9d23f45ae3fae031cb874feeeb4e0,247,b374,castilla-la-mancha|2017|main|71,retained318,,,,Castilla-La Mancha,2017,aparato-digestivo,main,374,False,d,Ninguna de las respuestas anteriores es correcta.,"En un paciente infectado por el genotipo 3 del VHC y con un índice de fibrosis ≤ 2, ¿Qué tratamiento antiviral no estaría indicado?",Sofosvubir / velpatasvir / voxilaprevir.,Glecaprevir / pibrentasvir.,Sofosvubir / velpatasvir.,Ninguna de las respuestas anteriores es correcta.,2a1583af7726f2327c0abbae65f3cd4836ad36a2c0875629eedbbc1eb1be8aff,9ea8392b7fa063e6072c9e254cf404d02aebc0d54c59e65fa5fe25efd76aa5ee,272,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=a;GLM 5.2=a;Qwen 3.6 35B=a;Gemma 4 26B=a,4,a,0,1,a,0,1,a,0,1,a,0,1
10,1,19,4,0,1.00000000,INVARIANT_HARD_CORE,False,openrouter_B-hard200-v1|,6cd1c460784470af9e827eff4accb13e357802e749cf816b0f79649a55284328,109,b168,navarra|2022|caso-clinico-1|93,retained318,,,,Navarra,2022,aparato-digestivo,caso-clinico-1,168,False,b,Ninguna de las respuestas anteriores es correcta.,"Estás de guardia y te avisan desde Urgencias donde están valorando a una mujer de 67 años que ha acudido por presentar, en las últimas 3 horas, 2 deposiciones de características melénicas. Son las 22:45h.
En la analítica presenta: Hemoglobina 7.8 g/dL, urea 69 y Creatinina 0.9mg/dL. El resto de parámetros están dentro de la normalidad.
Rehistoriada la paciente refiere ingesta de ibuprofeno en los 3 días previos por un dolor en un molar. No tiene antecedentes médicos de interés salvo una dislipemia bien controlada con estatinas y es alérgica a las quinolonas. Fuma unos 15 cigarrillos cada día.
En la exploración física la TA es de 118/65 mmHg y la FC de 86 lpm. La paciente está eupneica y algo pálida. La auscultación cardio-pulmonar es normal y en la exploración abdominal refiere molestias a la palpación profunda en región epigástrica

En el transcurso de la gastroscopia a la paciente se le tomó una muestra para Test de ureasa con resultado negativo. A la vista de este hallazgo, señale la respuesta CORRECTA:","Como ha tomado AINES, asumimos que ésa es la causa de la úlcera y, en el futuro, sólo deberemos aconsejar que no tome AINES o que asocie gastroprotección en caso de ser imprescindibles",Ninguna de las respuestas anteriores es correcta.,"Como tiene una hemorragia, el test de ureasa puede ser un falso negativo y habrá que realizar nueva gastroscopia para confirmar la cicatrización de la úlcera y tomar nuevas muestras","Como tiene más de 65 años, y ha sido una úlcera complicada, deberá hacer gastroprotección indefinida por lo que la presencia de Helicobácter es irrelevante",5f97d03db8af31628790de12f8954f5c420cb52f35f2b72695c317d3171419b1,bfac240209da4dbbbf8ce5157c83543550af871d253b5c8ea015a3c976565789,1590,Gemini 3.6 Flash;GLM 5.2;Qwen 3.6 35B;Gemma 4 26B,Gemini 3.6 Flash=c;GLM 5.2=c;Qwen 3.6 35B=c;Gemma 4 26B=a,4,c,0,1,c,0,1,c,0,1,a,0,1
