replacement_id,replaces_question_id,candidate_id,failure_group,source_key,old_correct_letter,new_correct_letter,sourcing_reviewer,qa1_reviewer,qa2_reviewer,protocol_gate,openrouter_A_scored,openrouter_B_scored,tailscale_A_scored,total_scored,execution_status
r007,b141,c2132,gift_request_overlength,galicia|2019|main|81,d,d,S01,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r008,b142,c2644,gift_request_overlength,la-rioja|2024|main|95,c,c,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r009,b143,c0922,gift_request_overlength,castilla-la-mancha|2017|main|22,b,b,RSRC22,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r010,b147,c0381,gift_request_overlength,andalucia|2022|cuestionario-teorico|74,b,b,S05,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r011,b148,c0177,gift_request_overlength,andalucia|2021|cuestionario-teorico|23,b,b,S06,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r012,b151,c0248,gift_request_overlength,andalucia|2021|cuestionario-teorico|94,b,b,S06,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r013,b153,c2600,gift_request_overlength,la-rioja|2024|main|51,d,d,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r014,b154,c0955,gift_request_overlength,castilla-la-mancha|2017|main|55,c,c,S03,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r015,b155,c2647,gift_request_overlength,la-rioja|2024|main|98,c,c,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r016,b156,c2033,gift_request_overlength,galicia|2016|main|92,c,c,S14,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r017,b157,c0931,gift_request_overlength,castilla-la-mancha|2017|main|31,c,c,S10,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r018,b158,c2443,gift_request_overlength,la-rioja|2021|main|4,b,b,S17,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r019,b159,c0973,gift_request_overlength,castilla-la-mancha|2017|main|73,c,c,RSRC22,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r020,b160,c2714,gift_request_overlength,navarra|2022|teorico-practica|65,d,d,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r021,b161,c0369,gift_request_overlength,andalucia|2022|cuestionario-teorico|62,b,b,RSRC22,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r022,b163,c2093,gift_request_overlength,galicia|2019|main|42,c,c,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r004,b199,c0211,ambiguous_or_model_sensitive,andalucia|2021|cuestionario-teorico|57,d,d,S05,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r005,b248,c2116,ambiguous_or_model_sensitive,galicia|2019|main|65,d,d,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r006,b260,c2027,ambiguous_or_model_sensitive,galicia|2016|main|86,b,b,S14,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r002,b320,c2718,ambiguous_or_model_sensitive,navarra|2022|teorico-practica|69,d,d,RSRC22,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r003,n031,c0205,ambiguous_or_model_sensitive,andalucia|2021|cuestionario-teorico|51,d,d,S00,RQA22A,RQA22B,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
r001,n169,c2485,ambiguous_or_model_sensitive,la-rioja|2021|main|46,d,d,S17,RQA22A,RQA22C,PASS,4,4,4,12,COMPLETE_12_OF_12_CELLS
