question_id,n_correct_of_12,difficulty_overall,n_correct_of_4_openrouter_A,n_correct_of_4_openrouter_B,n_correct_of_4_tailscale_A,difficulty_openrouter_A,difficulty_openrouter_B,difficulty_tailscale_A
b101,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
b104,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b106,5,0.4166666666666667,2,1,2,0.5,0.25,0.5
b107,9,0.75,3,3,3,0.75,0.75,0.75
b11,8,0.6666666666666666,2,2,4,0.5,0.5,1.0
b110,9,0.75,3,3,3,0.75,0.75,0.75
b111,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b112,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b113,12,1.0,4,4,4,1.0,1.0,1.0
b114,12,1.0,4,4,4,1.0,1.0,1.0
b115,5,0.4166666666666667,2,2,1,0.5,0.5,0.25
b116,9,0.75,3,3,3,0.75,0.75,0.75
b12,12,1.0,4,4,4,1.0,1.0,1.0
b121,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b122,12,1.0,4,4,4,1.0,1.0,1.0
b123,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
b124,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b125,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b13,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b131,11,0.9166666666666666,4,4,3,1.0,1.0,0.75
b132,12,1.0,4,4,4,1.0,1.0,1.0
b133,12,1.0,4,4,4,1.0,1.0,1.0
b134,6,0.5,3,0,3,0.75,0.0,0.75
b136,12,1.0,4,4,4,1.0,1.0,1.0
b137,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b166,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b167,7,0.5833333333333334,2,3,2,0.5,0.75,0.5
b168,7,0.5833333333333334,4,0,3,1.0,0.0,0.75
b170,5,0.4166666666666667,1,0,4,0.25,0.0,1.0
b171,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b172,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b173,12,1.0,4,4,4,1.0,1.0,1.0
b174,7,0.5833333333333334,2,2,3,0.5,0.5,0.75
b175,9,0.75,4,1,4,1.0,0.25,1.0
b176,12,1.0,4,4,4,1.0,1.0,1.0
b177,12,1.0,4,4,4,1.0,1.0,1.0
b179,12,1.0,4,4,4,1.0,1.0,1.0
b180,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b181,8,0.6666666666666666,4,1,3,1.0,0.25,0.75
b182,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
b183,12,1.0,4,4,4,1.0,1.0,1.0
b184,8,0.6666666666666666,4,1,3,1.0,0.25,0.75
b185,12,1.0,4,4,4,1.0,1.0,1.0
b186,12,1.0,4,4,4,1.0,1.0,1.0
b190,12,1.0,4,4,4,1.0,1.0,1.0
b192,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b193,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
b194,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b196,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
b198,12,1.0,4,4,4,1.0,1.0,1.0
b2,12,1.0,4,4,4,1.0,1.0,1.0
b200,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b201,12,1.0,4,4,4,1.0,1.0,1.0
b203,12,1.0,4,4,4,1.0,1.0,1.0
b206,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b207,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b208,10,0.8333333333333334,2,4,4,0.5,1.0,1.0
b209,12,1.0,4,4,4,1.0,1.0,1.0
b21,12,1.0,4,4,4,1.0,1.0,1.0
b210,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
b211,7,0.5833333333333334,3,0,4,0.75,0.0,1.0
b212,12,1.0,4,4,4,1.0,1.0,1.0
b215,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b217,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
b218,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b22,9,0.75,2,4,3,0.5,1.0,0.75
b221,7,0.5833333333333334,2,2,3,0.5,0.5,0.75
b222,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b223,9,0.75,4,1,4,1.0,0.25,1.0
b224,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
b226,12,1.0,4,4,4,1.0,1.0,1.0
b227,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b229,12,1.0,4,4,4,1.0,1.0,1.0
b232,7,0.5833333333333334,2,1,4,0.5,0.25,1.0
b233,12,1.0,4,4,4,1.0,1.0,1.0
b234,12,1.0,4,4,4,1.0,1.0,1.0
b235,12,1.0,4,4,4,1.0,1.0,1.0
b237,12,1.0,4,4,4,1.0,1.0,1.0
b24,12,1.0,4,4,4,1.0,1.0,1.0
b240,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b243,12,1.0,4,4,4,1.0,1.0,1.0
b244,12,1.0,4,4,4,1.0,1.0,1.0
b246,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b247,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b25,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b250,12,1.0,4,4,4,1.0,1.0,1.0
b252,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b254,12,1.0,4,4,4,1.0,1.0,1.0
b256,12,1.0,4,4,4,1.0,1.0,1.0
b26,12,1.0,4,4,4,1.0,1.0,1.0
b261,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b262,9,0.75,4,2,3,1.0,0.5,0.75
b264,5,0.4166666666666667,2,2,1,0.5,0.5,0.25
b265,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
b266,12,1.0,4,4,4,1.0,1.0,1.0
b267,9,0.75,3,2,4,0.75,0.5,1.0
b268,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b27,9,0.75,3,3,3,0.75,0.75,0.75
b270,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b271,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b272,12,1.0,4,4,4,1.0,1.0,1.0
b273,12,1.0,4,4,4,1.0,1.0,1.0
b274,12,1.0,4,4,4,1.0,1.0,1.0
b276,11,0.9166666666666666,3,4,4,0.75,1.0,1.0
b277,12,1.0,4,4,4,1.0,1.0,1.0
b279,9,0.75,3,3,3,0.75,0.75,0.75
b28,12,1.0,4,4,4,1.0,1.0,1.0
b281,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b282,6,0.5,2,2,2,0.5,0.5,0.5
b283,9,0.75,3,3,3,0.75,0.75,0.75
b284,9,0.75,4,2,3,1.0,0.5,0.75
b285,7,0.5833333333333334,2,2,3,0.5,0.5,0.75
b286,9,0.75,3,3,3,0.75,0.75,0.75
b287,12,1.0,4,4,4,1.0,1.0,1.0
b29,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b294,12,1.0,4,4,4,1.0,1.0,1.0
b295,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
