experiment_name,dataset_name,question_id,region,year,specialty,exam_part,question_number,provider,model,run_index,prompt_version,selected_letter,selected_option_text,correct_letter,correct_option_text,letter_correct,text_correct,strict_correct,lenient_correct,letter_text_conflict,parse_status,parse_method,api_status_code,latency_ms,prompt_tokens,completion_tokens,total_tokens,created_at
expC_2f_bm_altered,expC_2f_bm_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,5229,1006,701,1707,2026-08-05T02:30:32+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,1295,893,46,939,2026-08-05T02:30:28+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,d,Las respuestas a) y b) son correctas.,d,Las respuestas a) y b) son correctas.,1,1,1,1,0,ok,json_string,200,21074,914,1825,2739,2026-08-05T02:30:47+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b1,Illes Balears,2022,aparato-digestivo,caso-1,1,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,a,Es el tipo de cáncer con más incidencia en España.,d,Las respuestas a) y b) son correctas.,0,0,0,0,0,ok,json_string,200,24736,916,1249,2165,2026-08-05T02:30:51+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,2766,1029,287,1316,2026-08-05T02:30:29+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,1156,916,53,969,2026-08-05T02:30:27+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,7057,939,1323,2262,2026-08-05T02:30:33+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b2,Illes Balears,2022,aparato-digestivo,caso-1,2,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,1,1,1,1,0,ok,json_string,200,12195,941,506,1447,2026-08-05T02:30:39+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,3217,1040,398,1438,2026-08-05T02:30:30+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,862,927,52,979,2026-08-05T02:30:27+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,5970,949,1375,2324,2026-08-05T02:30:32+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b3,Illes Balears,2022,aparato-digestivo,caso-1,3,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,a,El cáncer de colon incrementa claramente su incidencia a partir de los 50.,1,1,1,1,0,ok,json_string,200,13609,951,625,1576,2026-08-05T02:30:40+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,2792,1027,290,1317,2026-08-05T02:30:29+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,1460,914,49,963,2026-08-05T02:30:28+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,12230,942,1309,2251,2026-08-05T02:30:39+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b4,Illes Balears,2022,aparato-digestivo,caso-1,4,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,1,1,1,1,0,ok,json_string,200,13362,944,576,1520,2026-08-05T02:30:40+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b5,Illes Balears,2022,aparato-digestivo,caso-1,5,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,1,1,1,1,0,ok,json_string,200,3804,1049,470,1519,2026-08-05T02:30:30+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b5,Illes Balears,2022,aparato-digestivo,caso-1,5,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,1,1,1,1,0,ok,json_string,200,920,936,50,986,2026-08-05T02:30:28+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b5,Illes Balears,2022,aparato-digestivo,caso-1,5,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,1,1,1,1,0,ok,json_string,200,38659,961,2122,3083,2026-08-05T02:31:06+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b5,Illes Balears,2022,aparato-digestivo,caso-1,5,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,1,1,1,1,0,ok,json_string,200,19270,963,961,1924,2026-08-05T02:30:46+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b7,Illes Balears,2022,aparato-digestivo,caso-1,7,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,1,1,1,1,0,ok,json_string,200,3300,1069,468,1537,2026-08-05T02:30:31+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b7,Illes Balears,2022,aparato-digestivo,caso-1,7,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,1,1,1,1,0,ok,json_string,200,885,956,70,1026,2026-08-05T02:30:30+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b7,Illes Balears,2022,aparato-digestivo,caso-1,7,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,1,1,1,1,0,ok,json_string,200,15488,975,1733,2708,2026-08-05T02:30:44+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b7,Illes Balears,2022,aparato-digestivo,caso-1,7,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,1,1,1,1,0,ok,json_string,200,13488,977,637,1614,2026-08-05T02:30:41+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b8,Illes Balears,2022,aparato-digestivo,caso-1,8,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,1,1,1,1,0,ok,json_string,200,4334,1116,683,1799,2026-08-05T02:30:33+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b8,Illes Balears,2022,aparato-digestivo,caso-1,8,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,1,1,1,1,0,ok,json_string,200,707,1003,67,1070,2026-08-05T02:30:31+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b8,Illes Balears,2022,aparato-digestivo,caso-1,8,openrouter,qwen/qwen3.6-35b-a3b,1,mcq_es_v4,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,1,1,1,1,0,ok,json_string,200,26764,1028,2284,3312,2026-08-05T02:30:57+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b8,Illes Balears,2022,aparato-digestivo,caso-1,8,openrouter,qwen/qwen3.7-max,1,mcq_es_v4,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,a,Se debe repetir la colonoscopia para conseguir una puntuación total de 6 puntos (o superior) con un mínimo de dos puntos en cada tramo.,1,1,1,1,0,ok,json_string,200,21295,1030,1058,2088,2026-08-05T02:30:51+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b9,Illes Balears,2022,aparato-digestivo,caso-1,9,openrouter,google/gemini-3.5-flash,1,mcq_es_v4,b,La lesión ha quedado curada tras la resección endoscópica.,b,La lesión ha quedado curada tras la resección endoscópica.,1,1,1,1,0,ok,json_string,200,4608,1151,680,1831,2026-08-05T02:30:36+00:00
expC_2f_bm_altered,expC_2f_bm_altered,b9,Illes Balears,2022,aparato-digestivo,caso-1,9,openrouter,google/gemma-4-26b-a4b-it,1,mcq_es_v4,b,La lesión ha quedado curada tras la resección endoscópica.,b,La lesión ha quedado curada tras la resección endoscópica.,1,1,1,1,0,ok,json_string,200,563,1038,50,1088,2026-08-05T02:30:33+00:00
