question_id,source_key,region,year,specialty,exam_part,question_number,question_text,option_a,option_b,option_c,option_d,correct_letter,correct_option_text,flags,page_in_exam_pdf,source_exam_pdf,source_answer_key_pdf,origin,content_sha256,raw_form_sha256
b2,illes-balears|2022|caso-1|2,Illes Balears,2022,aparato-digestivo,caso-1,2,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Señale la respuesta falsa en relación con los factores de riesgo del cáncer colorrectal:",El consumo de tabaco incrementa el riesgo de cáncer de colon.,El consumo de alcohol incrementa el riesgo de cáncer de colon.,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,El ejercicio físico regular es un factor que reduce el riesgo de cáncer de colon.,c,La obesidad no ha mostrado ser un factor de riesgo para el desarrollo del cáncer de colon.,negated,3,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,07a23a2bdd3c6899611ce482adeca8eb151e4b7a102b9b03d85cf3a69ee7bec3,ebd2453915d6d263b080a0d48891b86059802fd17a1f555f63e319e3589a5178
r001,la-rioja|2021|main|46,La Rioja,2021,aparato-digestivo,main,46,En el síndrome hepatopulmonar (SHP) es cierto que:,Existe una relación clara entre la presencia o gravedad del SHP y la gravedad de la enfermedad hepática valorada por la clasificación de Child-Turcotte-Pugh o por el índice MELD.,La determinación del gradiente alveolo-arterial de oxígeno no es un método más sensible que la presión parcial arterial de oxígeno.,La gammagrafía pulmonar con macroagregados de albúmina (γMA) marcados con ⁹⁹ᵐTc es considerado el Gold-estándar para el diagnóstico del SHP.,En pacientes cirróticos con SHP se ha demostrado un incremento de la producción de óxido nítrico en los pulmones medido en el aire espirado.,d,En pacientes cirróticos con SHP se ha demostrado un incremento de la producción de óxido nítrico en los pulmones medido en el aire espirado.,,18,AD_LA_RIOJA_2020_2021__EXAM__exam__fea-aparato-digestivo-2021.pdf,AD_LA_RIOJA_2020_2021__CORRECTION__correction__plantilla-respuestas-modificada-fea-aparato-digestivo-2021.pdf,replacement22_2026-08-04,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1
b4,illes-balears|2022|caso-1|4,Illes Balears,2022,aparato-digestivo,caso-1,4,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Señale la respuesta correcta en relación con el cáncer colorrectal (CCR):",La dieta rica en carnes rojas y procesadas disminuye el riesgo de CCR.,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,La dieta rica en grasas y la obesidad disminuyen el riesgo de CCR.,No se debe recomendar retirar el consumo de tabaco y de alcohol para prevenir el CCR.,b,La dieta rica en frutas y vegetales disminuye el riesgo de CCR.,,4,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,6181e50b2b33a05ba0ab3c2757fa7af006495f76779afc10883bca9a0c945ca2,b25fe5c2f2bf12e1e0f29ac21431b95c18b0a57bab00212c82503d360664b55f
r002,navarra|2022|teorico-practica|69,Navarra,2022,aparato-digestivo,teorico-practica,69,"Según la clasificación de Todani, la dilatación de la porción intraduodenal del conducto colédoco o coledococele correspondería a un quiste tipo:",II,Ia,Ib,III,d,III,,15,AD_NAVARRA_2022__EXAM__040_exam_preguntas-test-examen-digestivo-definitivo-ope-2022-estabili.pdf,AD_NAVARRA_2022__ANSWER_KEY__041_answer-key_respuestas-digestivo-ope-2022-estabilizacion.pdf,replacement22_2026-08-04,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c
r003,andalucia|2021|cuestionario-teorico|51,Andalucía,2021,aparato-digestivo,cuestionario-teorico,51,"Entre los distintos signos y/o síntomas que pueden aparecer en un proceso de hepatitis aguda, señale cual constituye un claro criterio de ingreso hospitalario:",Astenia,Febrícula,Dolor en hipocondrio derecho,Coagulopatía,d,Coagulopatía,,13,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,replacement22_2026-08-04,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e
b5,illes-balears|2022|caso-1|5,Illes Balears,2022,aparato-digestivo,caso-1,5,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

El paciente descrito inicialmente no presenta ningún tipo de sintomatología. Señale la respuesta correcta en relación con el programa de cribado del cáncer de colon:",No tiene criterios para participar ya que solo se incluyen los pacientes de entre 60 y 75 años.,Cumple criterios para ser incluido en el programa de cribado del CCR.,La ausencia de antecedentes familiares es un criterio de exclusión del programa de cribado del CCR.,La ausencia de síntomas es un criterio de exclusión del programa de cribado del CCR.,b,Cumple criterios para ser incluido en el programa de cribado del CCR.,,4,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,5542fadb1335631c34a095acfefddb43d0a31ff90540b0f15ead867f23325519,ff3bae80d3515658d0516bc659964b9e0a54f1da7566c41836cad18390558274
r004,andalucia|2021|cuestionario-teorico|57,Andalucía,2021,aparato-digestivo,cuestionario-teorico,57,"¿Cuál es la actitud más adecuada ante el hallazgo incidental en una pieza de apendicectomía de un tumor carcinoide de 8mm NET G1 (bien diferenciado, bajo índice mitótico, Ki-67<3%) con márgenes libres?",Hemicolectomía derecha con vaciamiento ganglionar en un segundo tiempo.,Ileocequectomía con vaciamiento ganglionar en un segundo tiempo.,Adyuvancia con octreótido.,La apendicectomía es suficiente.,d,La apendicectomía es suficiente.,,14,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,replacement22_2026-08-04,a3504cdc745871daf70c446f5433376060d3192fc8b5ac3fc5c6fafe7aa3ad6a,a3504cdc745871daf70c446f5433376060d3192fc8b5ac3fc5c6fafe7aa3ad6a
b6,illes-balears|2022|caso-1|6,Illes Balears,2022,aparato-digestivo,caso-1,6,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Una vez incluido en el programa de cribado se hace la determinación de sangre oculta en heces (SOH) inmunológica cuantitativa, que resulta positiva. Señale la respuesta correcta:",No se debe ofrecer ningún tipo de prueba complementaria.,Se debe ofrecer al paciente hacer una segunda determinación de SOH.,Se debe ofrecer al paciente hacer una colonoscopia.,Si no hay síntomas no es necesario hacer una colonoscopia.,c,Se debe ofrecer al paciente hacer una colonoscopia.,,4,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,959ccdbeb722e1ed27257935fa1b7c342a6d305250318aa3a0e7a817c562a718,b46c6088ff58d586d602dcfe0df77fa34a402ab61bbad8a53a1df28cba8ffde2
r005,galicia|2019|main|65,Galicia,2019,aparato-digestivo,main,65,"En una ecografía abdominal describen una lesión ocupante de espacio situada en el segmento antero-superior del lóbulo hepático derecho, entre la vena suprahepática derecha y la media, craneal a la vena porta. ¿En qué segmento del hígado se hallaría según la clasificación de Couinaud?:",IV.,VI.,VII.,VIII.,d,VIII.,,13,AD_GALICIA_OPE_2019__EXAM__gal-05__cas-especifico-digestivo-20210925132858-cas-pdf.pdf,AD_GALICIA_OPE_2019__CORRECTION__gal-07__fea-aparello-dixestivo-20211214124928-cas-pdf.pdf,replacement22_2026-08-04,40a1a595c05c8bd028b5b126369b5f139a2f4fc41b19d3aeda9271a7d8c1e1fe,40a1a595c05c8bd028b5b126369b5f139a2f4fc41b19d3aeda9271a7d8c1e1fe
b7,illes-balears|2022|caso-1|7,Illes Balears,2022,aparato-digestivo,caso-1,7,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Señale la respuesta falsa en relación con la calidad de las endoscopias del programa de cribado:",Deben ser procedimientos hechos por endoscopistas de alta cualificación para poder detectar y tratar las lesiones.,Se deben hacer en gabinetes con programación específica separada de las endoscopias de rutina.,Se debe disponer de equipamientos de la máxima calidad para optimizar la detección de las lesiones.,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,d,Las endoscopias del programa de cribado pueden hacerse en cualquier gabinete y por cualquier tipo de endoscopista independientemente de su tasa de detección de adenomas.,negated,5,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,11625cd44dba8c7ea369809a9dfe4ce219882d7fc76401778d7565c2e06ca0b9,d70f07dff4d5e5ef5e8635bae41b086a9116d61e7a82c0dd4c7d3920276a1c90
