variants=11 models=2 questions=10 => 220 calls | workbook=hard10-flat-A.xlsx
  - baseline   mode=strict_json version=exp5_baseline
  - v01        mode=strict_json version=exp5_v01
  - v02        mode=strict_json version=exp5_v02
  - v03        mode=strict_json version=exp5_v03
  - v04        mode=cot_json    version=exp5_v04
  - v05        mode=cot_json    version=exp5_v05
  - v06        mode=cot_json    version=exp5_v06
  - v07        mode=cot_json    version=exp5_v07
  - v08        mode=cot_json    version=exp5_v08
  - v09        mode=cot_json    version=exp5_v09
  - v10        mode=cot_json    version=exp5_v10
[1/220] baseline   qwen   q=r010  b/b ✓
[2/220] baseline   qwen   q=b170  b/d ✗
[3/220] baseline   qwen   q=b184  d/d ✓
[4/220] baseline   gemma  q=b455  b/d ✗
[5/220] baseline   gemma  q=b370  b/b ✓
[6/220] baseline   gemma  q=n088  b/b ✓
[7/220] baseline   gemma  q=b470  d/b ✗
[8/220] baseline   gemma  q=b170  d/d ✓
[9/220] baseline   gemma  q=r010  b/b ✓
[10/220] baseline   gemma  q=n111  a/b ✗
[11/220] baseline   gemma  q=b221  b/c ✗
[12/220] baseline   qwen   q=n111  b/b ✓
[13/220] baseline   gemma  q=b184  d/d ✓
[14/220] baseline   gemma  q=b284  c/c ✓
[15/220] baseline   qwen   q=b455  d/d ✓
[16/220] v01        qwen   q=b370  b/b ✓
[17/220] v01        qwen   q=n088  b/b ✓
[18/220] baseline   qwen   q=n088  b/b ✓
[19/220] baseline   qwen   q=b284  c/c ✓
[20/220] v01        qwen   q=n111  b/b ✓
[21/220] v01        qwen   q=b170  b/d ✗
[22/220] baseline   qwen   q=b370  b/b ✓
[23/220] v01        gemma  q=b455  b/d ✗
[24/220] v01        gemma  q=b370  b/b ✓
[25/220] v01        qwen   q=b455  b/d ✗
[26/220] v01        gemma  q=b170  d/d ✓
[27/220] v01        qwen   q=r010  b/b ✓
[28/220] v01        gemma  q=n088  b/b ✓
[29/220] v01        qwen   q=b470  d/b ✗
[30/220] v01        qwen   q=b284  c/c ✓
[31/220] v01        gemma  q=n111  a/b ✗
[32/220] v01        gemma  q=b221  b/c ✗
[33/220] v01        gemma  q=b470  d/b ✗
[34/220] v01        gemma  q=b184  d/d ✓
[35/220] v01        gemma  q=r010  b/b ✓
[36/220] v01        gemma  q=b284  c/c ✓
[37/220] v02        qwen   q=b170  b/d ✗
[38/220] v01        qwen   q=b221  c/c ✓
[39/220] v01        qwen   q=b184  d/d ✓
[40/220] v02        qwen   q=r010  b/b ✓
[41/220] baseline   qwen   q=b470  d/b ✗
[42/220] v02        qwen   q=b370  b/b ✓
[43/220] v02        gemma  q=b370  b/b ✓
[44/220] v02        gemma  q=b455  b/d ✗
[45/220] v02        gemma  q=n088  b/b ✓
[46/220] v02        gemma  q=b470  d/b ✗
[47/220] v02        gemma  q=b170  d/d ✓
[48/220] v02        qwen   q=b284  c/c ✓
[49/220] v02        gemma  q=r010  b/b ✓
[50/220] v02        gemma  q=b184  d/d ✓
[51/220] baseline   qwen   q=b221  c/c ✓
[52/220] v02        gemma  q=n111  a/b ✗
[53/220] v02        qwen   q=b470  c/b ✗
[54/220] v02        gemma  q=b221  a/c ✗
[55/220] v02        gemma  q=b284  c/c ✓
[56/220] v02        qwen   q=n088  b/b ✓
[57/220] v02        qwen   q=b221  c/c ✓
[58/220] v03        qwen   q=b455  d/d ✓
[59/220] v03        qwen   q=n088  b/b ✓
[60/220] v02        qwen   q=n111  b/b ✓
[61/220] v03        qwen   q=b170  b/d ✗
[62/220] v03        gemma  q=b370  b/b ✓
[63/220] v03        gemma  q=b455  b/d ✗
[64/220] v03        gemma  q=n088  b/b ✓
[65/220] v03        gemma  q=b170  d/d ✓
[66/220] v03        gemma  q=b470  d/b ✗
[67/220] v03        gemma  q=n111  a/b ✗
[68/220] v03        gemma  q=b184  d/d ✓
[69/220] v03        gemma  q=r010  b/b ✓
[70/220] v03        qwen   q=b470  c/b ✗
[71/220] v03        gemma  q=b284  c/c ✓
[72/220] v03        gemma  q=b221  b/c ✗
[73/220] v02        qwen   q=b184  d/d ✓
[74/220] v03        qwen   q=n111  b/b ✓
[75/220] v03        qwen   q=r010  b/b ✓
[76/220] v04        qwen   q=b455  d/d ✓
[77/220] v03        qwen   q=b184  d/d ✓
[78/220] v04        qwen   q=n088  b/b ✓
[79/220] v03        qwen   q=b284  c/c ✓
[80/220] v04        qwen   q=b170  b/d ✗
[81/220] v03        qwen   q=b221  c/c ✓
[82/220] v04        gemma  q=b370  b/b ✓
[83/220] v04        gemma  q=b455  b/d ✗
[84/220] v04        gemma  q=n088  b/b ✓
[85/220] v03        qwen   q=b370  b/b ✓
[86/220] v04        gemma  q=b170  d/d ✓
[87/220] v04        gemma  q=b470  d/b ✗
[88/220] v04        qwen   q=n111  b/b ✓
[89/220] v04        gemma  q=b184  c/d ✗
[90/220] v04        gemma  q=n111  a/b ✗
[91/220] v04        gemma  q=r010  b/b ✓
[92/220] v04        qwen   q=b470  d/b ✗
[93/220] v04        gemma  q=b284  a/c ✗
[94/220] v04        gemma  q=b221  a/c ✗
[95/220] v04        qwen   q=b184  d/d ✓
[96/220] v04        qwen   q=r010  b/b ✓
[97/220] v05        qwen   q=b455  d/d ✓
[98/220] v04        qwen   q=b370  b/b ✓
[99/220] v05        qwen   q=b370  b/b ✓
[100/220] v05        qwen   q=n088  b/b ✓
[101/220] v04        qwen   q=b221  b/c ✗
[102/220] v05        qwen   q=b170  b/d ✗
[103/220] v05        gemma  q=b370  b/b ✓
[104/220] v05        gemma  q=b455  b/d ✗
[105/220] v05        gemma  q=n088  b/b ✓
[106/220] v05        gemma  q=b170  d/d ✓
[107/220] v05        qwen   q=r010  b/b ✓
[108/220] v05        gemma  q=b470  d/b ✗
[109/220] v05        gemma  q=n111  a/b ✗
[110/220] v05        gemma  q=r010  b/b ✓
[111/220] v05        gemma  q=b184  c/d ✗
[112/220] v04        qwen   q=b284  d/c ✗
[113/220] v05        qwen   q=b284  c/c ✓
[114/220] v05        gemma  q=b284  d/c ✗
[115/220] v05        gemma  q=b221  b/c ✗
[116/220] v05        qwen   q=b470  d/b ✗
[117/220] v05        qwen   q=n111  b/b ✓
[118/220] v02        qwen   q=b455  d/d ✓
[119/220] v06        qwen   q=n111  b/b ✓
[120/220] v06        qwen   q=b470  d/b ✗
[121/220] v06        qwen   q=b455  b/d ✗
[122/220] v06        gemma  q=b370  b/b ✓
[123/220] v06        gemma  q=b455  b/d ✗
[124/220] v06        qwen   q=b221  c/c ✓
[125/220] v06        gemma  q=n088  b/b ✓
[126/220] v06        gemma  q=b170  b/d ✗
[127/220] v06        gemma  q=b470  d/b ✗
[128/220] v06        gemma  q=n111  a/b ✗
[129/220] v06        gemma  q=r010  b/b ✓
[130/220] v06        gemma  q=b184  c/d ✗
[131/220] v06        gemma  q=b284  a/c ✗
