invocation_id,arm,condition,model,dataset,experiment_id,target_count,concurrency,start_time_utc,end_time_utc,status,scored_count,failure_count,stop_reason,not_started,skipped_already_scored,upstream_override,deviation,redacted_command,log_path,notes
or-a-gemini-r2-r3-initial,openrouter_A,A,google/gemini-3.6-flash,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,18,10,2026-08-05T16:17:16Z,2026-08-05T16:17:16Z,aborted_authentication_failure,0,0,authentication_failure,18,0,,FALSE,uv run python execute_replicates.py --arm openrouter_A --model google/gemini-3.6-flash --max-concurrency 10 --execute --invocation-id or-a-gemini-r2-r3-initial --db [REDACTED_PATH],logs/or-a-gemini-r2-r3-initial.jsonl,Zero provider calls issued; aborted immediately on OpenRouter authentication failure before any call was sent. All 18 target cells left not-started; retried successfully in or-a-gemini-r2-r3-run1 sixteen seconds later.
or-a-gemini-r2-r3-run1,openrouter_A,A,google/gemini-3.6-flash,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,18,10,2026-08-05T16:17:33Z,2026-08-05T16:18:06Z,completed,18,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_A --model google/gemini-3.6-flash --max-concurrency 10 --execute --invocation-id or-a-gemini-r2-r3-run1 --db [REDACTED_PATH],logs/or-a-gemini-r2-r3-run1.jsonl,Full run-1 retry after the authentication-failure abort; completed all 18 openrouter_A gemini cells.
or-a-gemma-r2-r3-run1,openrouter_A,A,google/gemma-4-26b-a4b-it,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,210,10,2026-08-05T16:18:15Z,2026-08-05T16:20:06Z,completed,210,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_A --model google/gemma-4-26b-a4b-it --max-concurrency 10 --execute --invocation-id or-a-gemma-r2-r3-run1 --db [REDACTED_PATH],logs/or-a-gemma-r2-r3-run1.jsonl,"openrouter_A gemma, completed in one pass."
or-a-qwen-r2-r3-run1,openrouter_A,A,qwen/qwen3.6-35b-a3b,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,116,10,2026-08-05T16:20:20Z,2026-08-05T16:33:14Z,completed,116,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_A --model qwen/qwen3.6-35b-a3b --max-concurrency 10 --execute --invocation-id or-a-qwen-r2-r3-run1 --db [REDACTED_PATH],logs/or-a-qwen-r2-r3-run1.jsonl,"openrouter_A qwen, completed in one pass."
or-a-glm-r2-r3-run1,openrouter_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_or_A_20260805,62,5,2026-08-05T16:33:21Z,2026-08-05T16:33:40Z,completed,62,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_A --model z-ai/glm-5.2 --max-concurrency 5 --execute --invocation-id or-a-glm-r2-r3-run1 --db [REDACTED_PATH],logs/or-a-glm-r2-r3-run1.jsonl,"openrouter_A glm, completed in one pass."
or-b-gemini-r2-r3-run1,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,10,2026-08-05T16:33:47Z,2026-08-05T16:33:49Z,aborted_rate_limit_or_circuit_open,0,10,rate_limit_or_circuit_open,90,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 10 --execute --invocation-id or-b-gemini-r2-r3-run1 --db [REDACTED_PATH],logs/or-b-gemini-r2-r3-run1.jsonl,"First full-batch attempt at openrouter_B gemini (concurrency 10); aborted after 10 calls, all rate-limited, on rate_limit_or_circuit_open. 90 cells left not-started."
or-b-gemini-probe-b323-r2,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,1,1,2026-08-05T16:35:04Z,2026-08-05T16:35:05Z,aborted_rate_limit_or_circuit_open,0,1,rate_limit_or_circuit_open,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 1 --execute --invocation-id or-b-gemini-probe-b323-r2 --db [REDACTED_PATH],logs/or-b-gemini-probe-b323-r2.jsonl,Single-cell diagnostic probe against the shared OpenRouter/Google AI Studio pool for gemini_B; aborted on rate_limit_or_circuit_open. Not a scoring attempt for the batch.
or-b-glm-r2-r3-run1,openrouter_B,B,z-ai/glm-5.2,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,222,5,2026-08-05T16:35:22Z,2026-08-05T16:36:08Z,completed,222,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model z-ai/glm-5.2 --max-concurrency 5 --execute --invocation-id or-b-glm-r2-r3-run1 --db [REDACTED_PATH],logs/or-b-glm-r2-r3-run1.jsonl,"openrouter_B glm, completed in one pass."
or-b-gemma-r2-r3-run1,openrouter_B,B,google/gemma-4-26b-a4b-it,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,458,5,2026-08-05T16:36:21Z,2026-08-05T16:37:51Z,completed,458,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemma-4-26b-a4b-it --max-concurrency 5 --execute --invocation-id or-b-gemma-r2-r3-run1 --db [REDACTED_PATH],logs/or-b-gemma-r2-r3-run1.jsonl,"openrouter_B gemma, completed in one pass."
or-b-qwen-r2-r3-run1,openrouter_B,B,qwen/qwen3.6-35b-a3b,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,284,10,2026-08-05T16:37:59Z,2026-08-05T16:50:45Z,completed,284,0,,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model qwen/qwen3.6-35b-a3b --max-concurrency 10 --execute --invocation-id or-b-qwen-r2-r3-run1 --db [REDACTED_PATH],logs/or-b-qwen-r2-r3-run1.jsonl,"openrouter_B qwen, completed in one pass."
