replacement_id,replaces_question_id,candidate_id,source_key,raw_fields_hash,sourcing_reviewer,sourcing_verdict,qa1_reviewer,qa1_verdict,qa2_reviewer,qa2_verdict,distinct_qa_reviewers,protocol_gate
r011,b148,c0177,andalucia|2021|cuestionario-teorico|23,2d41c19f2b72bb9ce15682165588969b834f0e95f0d746458cd1a19f8a331518,S06,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r003,n031,c0205,andalucia|2021|cuestionario-teorico|51,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e,S00,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r004,b199,c0211,andalucia|2021|cuestionario-teorico|57,a3504cdc745871daf70c446f5433376060d3192fc8b5ac3fc5c6fafe7aa3ad6a,S05,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r012,b151,c0248,andalucia|2021|cuestionario-teorico|94,66675bb958a9916ef57e726a0958153676b4016fd0ae1dabe452d40d33eb5ee7,S06,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r021,b161,c0369,andalucia|2022|cuestionario-teorico|62,47dc3941d33d8661f153cd85e0ca7c2933a54539ba0f1cc0906c09093629807e,RSRC22,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r010,b147,c0381,andalucia|2022|cuestionario-teorico|74,52da835565b44f8179eda8a15fe2499264052df7e3864003daa63513f49372e9,S05,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r009,b143,c0922,castilla-la-mancha|2017|main|22,96ccb13ce5e05d56f54378057e397ecd8738645e1b7347fb2d39fd9deac767b4,RSRC22,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r017,b157,c0931,castilla-la-mancha|2017|main|31,daac89657522c023bb9e3e998ee38be2bc95c69f4a78c30d56db7cb3f8d15ea9,S10,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r014,b154,c0955,castilla-la-mancha|2017|main|55,5b5904213e4f70b40eab2a71604b9df09e4fdd48b2d6db6fbc02b79488f6f46a,S03,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r019,b159,c0973,castilla-la-mancha|2017|main|73,b064a1644e22b83bd53dd50223451b6b7b20a9752e2cc3fb6756a441c4f61a32,RSRC22,PASS,RQA22A,PASS,RQA22B,PASS,TRUE,PASS
r006,b260,c2027,galicia|2016|main|86,28cacccb653af0dad2d5967a05880422fe4140f5beabaafb28ec93bbf2e295b8,S14,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r016,b156,c2033,galicia|2016|main|92,340877645268b213bd76a4f0c9c36622acd44ebed3c52395220f748c8ce69eed,S14,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r022,b163,c2093,galicia|2019|main|42,dc34541b28cb632965da2626f800456cb361e501aca1d4c1d9c5cf74a48670dd,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r005,b248,c2116,galicia|2019|main|65,40a1a595c05c8bd028b5b126369b5f139a2f4fc41b19d3aeda9271a7d8c1e1fe,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r007,b141,c2132,galicia|2019|main|81,0c63d442a22191d309528e8228cdcaeaaff0f5e72a5eb2d37fa362579b8f0bb8,S01,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r018,b158,c2443,la-rioja|2021|main|4,a60acd1a7953ddf3d21ea9cc60fcfd8852432abae84ccd79bcc81d27bed526ad,S17,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r001,n169,c2485,la-rioja|2021|main|46,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,S17,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r013,b153,c2600,la-rioja|2024|main|51,4b74a558be2e42b28471dbc124d53cb48bf1cdbe57e324b2f77a8a517a7a343e,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r008,b142,c2644,la-rioja|2024|main|95,53fb04f87c7274a0054fb0e2aca094fe1a1966008ca36539591db0b5c18f3b23,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r015,b155,c2647,la-rioja|2024|main|98,5e6b1c416fec0a72ab34bc77ac97929007fcd35467acef544f0f6a9be0313d26,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r020,b160,c2714,navarra|2022|teorico-practica|65,23379f07f99746f4b2370bcfa291bf8513a40939c6bffc25fb9f7c0d6d375ce0,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
r002,b320,c2718,navarra|2022|teorico-practica|69,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,RSRC22,PASS,RQA22A,PASS,RQA22C,PASS,TRUE,PASS
