cell_key,arm,provider,condition,question_id,source_key,origin,model,run_index,failure_class,attempt_count,attempt_history_json,latest_status_code,latest_latency_ms,latest_finish_reason,latest_error_type,parse_status,source_form_input_char_count,request_user_content_char_count,result_experiment,result_database,source_workbook,source_workbook_sha256,source_excel_row,content_sha256,raw_form_sha256,request_sha256,response_sha256
openrouter|A|b320|comunitat-valenciana|2022|main-47-80|72|z-ai/glm-5.2|1,openrouter_A,openrouter,A,b320,comunitat-valenciana|2022|main-47-80|72,retained318,z-ai/glm-5.2,1,openrouter_glm_length_no_parse_after_retries,3,"[{""attempt_index"":1,""status_code"":200,""latency_ms"":307296,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null},{""attempt_index"":2,""status_code"":null,""latency_ms"":null,""finish_reason"":null,""error_type"":""timeout"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":null,""latency_ms"":63195,""finish_reason"":null,""error_type"":""request_error"",""parse_status"":null,""selected_letter"":null}]",,63195,,request_error,,531,3517,ab520_gapfill_or_A_b320_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,210,aa4b4f50656e54e3fffe787bca5e3aad04bf13d0964c3e3e6c164e9b3d233166,31f89cf55b5125f7fa669ec24c9f89545302673dd242cecd2d80449747102825,b37b05b20dd698f3c896174f9ad9509d9ece10f88366d391a75daf91b324dfe5,
openrouter|A|n169|la-rioja|2021|main|70|z-ai/glm-5.2|1,openrouter_A,openrouter,A,n169,la-rioja|2021|main|70,new182,z-ai/glm-5.2,1,openrouter_glm_length_no_parse_after_retries,4,"[{""attempt_index"":1,""status_code"":200,""latency_ms"":387152,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null},{""attempt_index"":2,""status_code"":200,""latency_ms"":314206,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null},{""attempt_index"":3,""status_code"":200,""latency_ms"":278879,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null},{""attempt_index"":4,""status_code"":200,""latency_ms"":413796,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null}]",200,413796,length,,failed_no_answer_found,519,3505,ab520_gapfill_or_A_new182,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,488,8d82a3298139310c49110153c1faf8b506b451f42dec76769fc096276a86eb48,8d82a3298139310c49110153c1faf8b506b451f42dec76769fc096276a86eb48,f369ccafc5c0543bbcaa7a8e3fb530d3a36e990bfefd946beadf1173151134fb,92a6c2cc835d442a25d469a1fd228ee468eca659ffca2b547a413173c50c4cfc
tailscale_medical_rag|A|b141|illes-balears|2022|caso-6|144|google/gemini-3.6-flash|1,tailscale_A,tailscale_medical_rag,A,b141,illes-balears|2022|caso-6|144,retained318,google/gemini-3.6-flash,1,tailscale_http500_correlated_overlength_exact_input,2,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":324,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":235,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,235,,server_error,,5145,5181,ab520_gapfill_ts_A_gap_gemini,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,92,5a3d670b96f4a1fb2d75d7b1ca94d7016e4e92c28f24cd5467c2bbe94044e4ef,c9f61d3d65b851d539341bc493359d35319b02e520e2b15eba631054d8e449e4,4fc6e6b24fa0fa56f384426fdf6c4bb7b88ce063886ef2cba915d29b115e49c7,794cbdd23362d214aee1f3c755bdda9858bd78a42431635c9ea64766d5e666de
tailscale_medical_rag|A|b141|illes-balears|2022|caso-6|144|google/gemma-4-26b-a4b-it|1,tailscale_A,tailscale_medical_rag,A,b141,illes-balears|2022|caso-6|144,retained318,google/gemma-4-26b-a4b-it,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":258,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,258,,server_error,,5145,5181,ab520_gapfill_ts_A_gap_gemma,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,92,5a3d670b96f4a1fb2d75d7b1ca94d7016e4e92c28f24cd5467c2bbe94044e4ef,c9f61d3d65b851d539341bc493359d35319b02e520e2b15eba631054d8e449e4,9c608cb779ab819705c9c0f3ad9808dab113db4b1746e3187f781afa8bf9c96a,4b8d850893f7363573989e0550d1bf54001d32da48a6ae508a71f25c12923434
tailscale_medical_rag|A|b141|illes-balears|2022|caso-6|144|qwen/qwen3.6-35b-a3b|1,tailscale_A,tailscale_medical_rag,A,b141,illes-balears|2022|caso-6|144,retained318,qwen/qwen3.6-35b-a3b,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":268,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,268,,server_error,,5145,5181,ab520_gapfill_ts_A_gap_qwen,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,92,5a3d670b96f4a1fb2d75d7b1ca94d7016e4e92c28f24cd5467c2bbe94044e4ef,c9f61d3d65b851d539341bc493359d35319b02e520e2b15eba631054d8e449e4,be042e277d8519f5a8cd3d21f0f98191e6de169425f48a99216d1392407a4f27,3888180730a6df5d3a34ef73447d87c66ce30ce02b55e04e5eb5b5b787bc566b
tailscale_medical_rag|A|b141|illes-balears|2022|caso-6|144|z-ai/glm-5.2|1,tailscale_A,tailscale_medical_rag,A,b141,illes-balears|2022|caso-6|144,retained318,z-ai/glm-5.2,1,tailscale_http500_correlated_overlength_exact_input,4,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":287,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":251,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":500,""latency_ms"":71,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":4,""status_code"":500,""latency_ms"":79,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,79,,server_error,,5145,5181,ab520_gapfill_ts_A_gap_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,92,5a3d670b96f4a1fb2d75d7b1ca94d7016e4e92c28f24cd5467c2bbe94044e4ef,c9f61d3d65b851d539341bc493359d35319b02e520e2b15eba631054d8e449e4,dc195604a1a3fbcb8f5acfb8f81bd6f4f7c8210432da6ea21ff4956a53e94156,879f4f9e5a6768fe3386ad5dd442f1fbf36264b0ef514b54832a7d273fed2d24
tailscale_medical_rag|A|b142|illes-balears|2022|caso-7|145|google/gemini-3.6-flash|1,tailscale_A,tailscale_medical_rag,A,b142,illes-balears|2022|caso-7|145,retained318,google/gemini-3.6-flash,1,tailscale_http500_correlated_overlength_exact_input,2,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":326,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":85,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,85,,server_error,,5847,5883,ab520_gapfill_ts_A_gap_gemini,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,93,dfcdfde6dd2ba45ef8c141eac5e3395e2dc3a7c82b3c221d8fe442609630afb1,b215a86f4eeae2d66cd3648247c0ff5871c2f8321f5036340bcc0f630a6bfb67,051c03bd2b6b907c893a62c0d601d65afb44238eb9ceba1fecc0609fdfd6eea2,794cbdd23362d214aee1f3c755bdda9858bd78a42431635c9ea64766d5e666de
tailscale_medical_rag|A|b142|illes-balears|2022|caso-7|145|google/gemma-4-26b-a4b-it|1,tailscale_A,tailscale_medical_rag,A,b142,illes-balears|2022|caso-7|145,retained318,google/gemma-4-26b-a4b-it,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":255,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,255,,server_error,,5847,5883,ab520_gapfill_ts_A_gap_gemma,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,93,dfcdfde6dd2ba45ef8c141eac5e3395e2dc3a7c82b3c221d8fe442609630afb1,b215a86f4eeae2d66cd3648247c0ff5871c2f8321f5036340bcc0f630a6bfb67,4dd9550af22614e7fe22f42582053e40ff15ae977ba465357ed8d2d03007ec73,4b8d850893f7363573989e0550d1bf54001d32da48a6ae508a71f25c12923434
tailscale_medical_rag|A|b142|illes-balears|2022|caso-7|145|qwen/qwen3.6-35b-a3b|1,tailscale_A,tailscale_medical_rag,A,b142,illes-balears|2022|caso-7|145,retained318,qwen/qwen3.6-35b-a3b,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":261,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,261,,server_error,,5847,5883,ab520_gapfill_ts_A_gap_qwen,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,93,dfcdfde6dd2ba45ef8c141eac5e3395e2dc3a7c82b3c221d8fe442609630afb1,b215a86f4eeae2d66cd3648247c0ff5871c2f8321f5036340bcc0f630a6bfb67,e946f2a3ecd0505252f4f2f14e2557d6f8adaa2a7a1174e0e9d72270e5a16411,3888180730a6df5d3a34ef73447d87c66ce30ce02b55e04e5eb5b5b787bc566b
tailscale_medical_rag|A|b142|illes-balears|2022|caso-7|145|z-ai/glm-5.2|1,tailscale_A,tailscale_medical_rag,A,b142,illes-balears|2022|caso-7|145,retained318,z-ai/glm-5.2,1,tailscale_http500_correlated_overlength_exact_input,4,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":300,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":250,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":500,""latency_ms"":242,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":4,""status_code"":500,""latency_ms"":422,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,422,,server_error,,5847,5883,ab520_gapfill_ts_A_gap_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,93,dfcdfde6dd2ba45ef8c141eac5e3395e2dc3a7c82b3c221d8fe442609630afb1,b215a86f4eeae2d66cd3648247c0ff5871c2f8321f5036340bcc0f630a6bfb67,8b11c9b5b3f9b7790a78afeea025e0b0a22433e4ec84092dd5814bdfe0c0f65e,7a6c84a13aa5ad3a35c215cc08a9f5ab16e383689b8669c07af1cb7cce404b6b
tailscale_medical_rag|A|b143|illes-balears|2022|caso-7|146|google/gemini-3.6-flash|1,tailscale_A,tailscale_medical_rag,A,b143,illes-balears|2022|caso-7|146,retained318,google/gemini-3.6-flash,1,tailscale_http500_correlated_overlength_exact_input,2,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":321,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":229,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,229,,server_error,,6046,6082,ab520_gapfill_ts_A_gap_gemini,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,94,691c44bf76af7ab683bced8401fd598c3c9723ae637420a55775301724596aa2,cf5c1bac324e84ff24a9d0d29dbc31c3b142fc8be6d25f2a2462777d78e4ccfa,0498c1dd5421952a153acd499398a8d70218f2d0a16064f048a029476375ca8b,794cbdd23362d214aee1f3c755bdda9858bd78a42431635c9ea64766d5e666de
