variants=11 models=2 questions=10 => 220 calls | workbook=hard10-flat-B.xlsx
  - baseline   mode=strict_json version=exp5_baseline
  - v01        mode=strict_json version=exp5_v01
  - v02        mode=strict_json version=exp5_v02
  - v03        mode=strict_json version=exp5_v03
  - v04        mode=cot_json    version=exp5_v04
  - v05        mode=cot_json    version=exp5_v05
  - v06        mode=cot_json    version=exp5_v06
  - v07        mode=cot_json    version=exp5_v07
  - v08        mode=cot_json    version=exp5_v08
  - v09        mode=cot_json    version=exp5_v09
  - v10        mode=cot_json    version=exp5_v10
[1/220] baseline   qwen   q=n111  a/b ✗
[2/220] baseline   gemma  q=b370  d/b ✗
[3/220] baseline   gemma  q=b455  b/d ✗
[4/220] baseline   qwen   q=b455  b/d ✗
[5/220] baseline   gemma  q=b170  c/d ✗
[6/220] baseline   gemma  q=b470  d/b ✗
[7/220] baseline   gemma  q=n088  d/b ✗
[8/220] baseline   gemma  q=b184  c/d ✗
[9/220] baseline   gemma  q=n111  a/b ✗
[10/220] baseline   qwen   q=b221  b/c ✗
[11/220] baseline   gemma  q=r010  c/b ✗
[12/220] baseline   gemma  q=b221  c/c ✓
[13/220] baseline   qwen   q=b370  d/b ✗
[14/220] baseline   gemma  q=b284  a/c ✗
[15/220] baseline   qwen   q=r010  c/b ✗
[16/220] baseline   qwen   q=n088  d/b ✗
[17/220] baseline   qwen   q=b284  d/c ✗
[18/220] baseline   qwen   q=b170  b/d ✗
[19/220] baseline   qwen   q=b184  c/d ✗
[20/220] v01        qwen   q=n111  a/b ✗
[21/220] v01        qwen   q=b370  d/b ✗
[22/220] v01        qwen   q=b170  b/d ✗
[23/220] v01        gemma  q=b370  d/b ✗
[24/220] v01        qwen   q=r010  c/b ✗
[25/220] v01        qwen   q=b184  c/d ✗
[26/220] v01        gemma  q=b455  b/d ✗
[27/220] v01        gemma  q=b170  c/d ✗
[28/220] v01        gemma  q=b470  d/b ✗
[29/220] v01        gemma  q=n088  d/b ✗
[30/220] v01        gemma  q=n111  a/b ✗
[31/220] v01        gemma  q=r010  c/b ✗
[32/220] v01        gemma  q=b184  c/d ✗
[33/220] v01        gemma  q=b284  a/c ✗
[34/220] v01        gemma  q=b221  a/c ✗
[35/220] v01        qwen   q=b284  c/c ✓
[36/220] v01        qwen   q=n088  d/b ✗
[37/220] v02        qwen   q=b455  b/d ✗
[38/220] v01        qwen   q=b455  b/d ✗
[39/220] baseline   qwen   q=b470  d/b ✗
[40/220] v01        qwen   q=b470  d/b ✗
[41/220] v02        qwen   q=b370  d/b ✗
[42/220] v01        qwen   q=b221  b/c ✗
[43/220] v02        qwen   q=b170  b/d ✗
[44/220] v02        gemma  q=b370  d/b ✗
[45/220] v02        gemma  q=b455  b/d ✗
[46/220] v02        gemma  q=n088  d/b ✗
[47/220] v02        gemma  q=b170  c/d ✗
[48/220] v02        gemma  q=b470  d/b ✗
[49/220] v02        gemma  q=n111  a/b ✗
[50/220] v02        gemma  q=b184  c/d ✗
[51/220] v02        gemma  q=r010  c/b ✗
[52/220] v02        gemma  q=b284  a/c ✗
[53/220] v02        gemma  q=b221  c/c ✓
[54/220] v02        qwen   q=n088  d/b ✗
[55/220] v02        qwen   q=b470  c/b ✗
[56/220] v02        qwen   q=n111  a/b ✗
[57/220] v02        qwen   q=r010  c/b ✗
[58/220] v03        qwen   q=b455  b/d ✗
[59/220] v03        qwen   q=b370  d/b ✗
[60/220] v02        qwen   q=b184  a/d ✗
[61/220] v03        qwen   q=n088  d/b ✗
[62/220] v02        qwen   q=b284  d/c ✗
[63/220] v03        gemma  q=b370  d/b ✗
[64/220] v03        gemma  q=b455  b/d ✗
[65/220] v03        gemma  q=n088  d/b ✗
