cell_key,arm,provider,condition,replacement_id,replaces_question_id,candidate_id,source_key,model,run_index,dataset,experiment,prompt_version,temperature,tailscale_prompt_id,input_fields_sha256,system_prompt_sha256,user_prompt_sha256,user_prompt_characters,qa_coverage_sha256,status
openrouter|A|r001|la-rioja|2021|main|46|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,r001,n169,c2485,la-rioja|2021|main|46,google/gemini-3.6-flash,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,,a3deccec7938bd18ad4d9e6ad92bcf3207eae447b930df6dc218adf74d03df21,3625,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r001|la-rioja|2021|main|46|google/gemma-4-26b-a4b-it|1,openrouter_A,openrouter,A,r001,n169,c2485,la-rioja|2021|main|46,google/gemma-4-26b-a4b-it,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,,a3deccec7938bd18ad4d9e6ad92bcf3207eae447b930df6dc218adf74d03df21,3625,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r001|la-rioja|2021|main|46|qwen/qwen3.6-35b-a3b|1,openrouter_A,openrouter,A,r001,n169,c2485,la-rioja|2021|main|46,qwen/qwen3.6-35b-a3b,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,,a3deccec7938bd18ad4d9e6ad92bcf3207eae447b930df6dc218adf74d03df21,3625,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r001|la-rioja|2021|main|46|z-ai/glm-5.2|1,openrouter_A,openrouter,A,r001,n169,c2485,la-rioja|2021|main|46,z-ai/glm-5.2,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,b9b6ad648f3ab5132dd3adaf76e13c53fb2f51cd36541bcb1e3b9aed7e4f42a1,,a3deccec7938bd18ad4d9e6ad92bcf3207eae447b930df6dc218adf74d03df21,3625,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r002|navarra|2022|teorico-practica|69|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,r002,b320,c2718,navarra|2022|teorico-practica|69,google/gemini-3.6-flash,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,,ebde0a3f2cbb44eb5d358309804bda8eed03dc52181d2a87877556c9c6dea899,3140,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r002|navarra|2022|teorico-practica|69|google/gemma-4-26b-a4b-it|1,openrouter_A,openrouter,A,r002,b320,c2718,navarra|2022|teorico-practica|69,google/gemma-4-26b-a4b-it,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,,ebde0a3f2cbb44eb5d358309804bda8eed03dc52181d2a87877556c9c6dea899,3140,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r002|navarra|2022|teorico-practica|69|qwen/qwen3.6-35b-a3b|1,openrouter_A,openrouter,A,r002,b320,c2718,navarra|2022|teorico-practica|69,qwen/qwen3.6-35b-a3b,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,,ebde0a3f2cbb44eb5d358309804bda8eed03dc52181d2a87877556c9c6dea899,3140,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r002|navarra|2022|teorico-practica|69|z-ai/glm-5.2|1,openrouter_A,openrouter,A,r002,b320,c2718,navarra|2022|teorico-practica|69,z-ai/glm-5.2,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,05ddbfee8772c2e79d23c89633126a64a552b276e54898c8eddb8b0e1f8ef43c,,ebde0a3f2cbb44eb5d358309804bda8eed03dc52181d2a87877556c9c6dea899,3140,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r003|andalucia|2021|cuestionario-teorico|51|google/gemini-3.6-flash|1,openrouter_A,openrouter,A,r003,n031,c0205,andalucia|2021|cuestionario-teorico|51,google/gemini-3.6-flash,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e,,95b37ff3743651cf4272d1e955e80b41a25a2a355445caff3c4778e9eaf1cd95,3201,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
openrouter|A|r003|andalucia|2021|cuestionario-teorico|51|google/gemma-4-26b-a4b-it|1,openrouter_A,openrouter,A,r003,n031,c0205,andalucia|2021|cuestionario-teorico|51,google/gemma-4-26b-a4b-it,1,aug26_replacement22_A,ab520_replacement22_or_A_20260804,mcq_es_v4,0,,e698c3e5e8ee0661967f1955f5470a727138006bf2ef08ccfe3e180a8991279e,,95b37ff3743651cf4272d1e955e80b41a25a2a355445caff3c4778e9eaf1cd95,3201,719cee96a210902b15413dc0e1807ebbb6e843bbcb00367277322d8514a2a84f,READY_NOT_RUN
